QUESTION,REPONSE,DIFFICULTE
Quelle est la planète la plus proche du Soleil ?,Mercure,2
Quel est le symbole chimique de l'eau ?,H2O,1
Combien de pattes a une araignée ?,8,1
Quel est l'organe principal du système nerveux ?,Cerveau,1
À quelle température l'eau bout-elle (au niveau de la mer) ?,100 degrés,1
Quelle force nous maintient au sol sur Terre ?,Gravité,1
Quel est le plus grand mammifère du monde ?,Baleine bleue,1
Quel gaz respire-t-on principalement pour survivre ?,Oxygène,1
Quelle est la planète surnommée la "Planète Rouge" ?,Mars,1
Quel est le symbole chimique de l'Or ?,Au,3
Combien d'os possède le corps humain adulte (environ) ?,206,3
Qui a formulé la théorie de la relativité ?,Albert Einstein,1
Quel est le métal liquide à température ambiante ?,Mercure,3
Quelle partie de la plante assure la photosynthèse ?,Feuille,2
Quel est le nom de notre galaxie ?,Voie Lactée,2
Quel organe pompe le sang dans le corps ?,Cœur,1
Quelle est la vitesse de la lumière (environ en km/s) ?,300 000,3
Quel est le plus grand organe du corps humain ?,Peau,2
Quel dinosaure est connu pour ses trois cornes ?,Tricératops,2
Quel est le symbole chimique du Fer ?,Fe,3
Quelle est la planète la plus grande du système solaire ?,Jupiter,1
Qui a découvert la pénicilline ?,Alexander Fleming,4
Quel est le gaz le plus abondant dans l'atmosphère terrestre ?,Azote,3
Quelle est l'unité de mesure de la résistance électrique ?,Ohm,4
Quel animal peut dormir debout ?,Cheval (ou Éléphant),2
Comment appelle-t-on l'étude des champignons ?,Mycologie,4
Quel est le centre d'un atome ?,Noyau,2
Quelle est la formule chimique du dioxyde de carbone ?,CO2,1
Combien de dents a un adulte (dents de sagesse comprises) ?,32,2
Quel instrument utilise-t-on pour regarder les étoiles ?,Télescope,1
Quel est le seul satellite naturel de la Terre ?,Lune,1
Qui a inventé l'ampoule électrique (commercialement viable) ?,Thomas Edison,1
Quel groupe sanguin est donneur universel ?,O négatif,3
Quelle est la couleur de la chlorophylle ?,Vert,1
Quel est l'animal terrestre le plus rapide ?,Guépard,1
Quel est le point de congélation de l'eau en degrés Celsius ?,0,1
Quelle maladie est transmise par le moustique anophèle ?,Paludisme (Malaria),4
Quel est le plus petit os du corps humain ?,Étrier (dans l'oreille),4
Quelle planète a des anneaux très visibles ?,Saturne,1
Qui a proposé la théorie de l'évolution ?,Charles Darwin,2
Quel est le symbole chimique de l'Oxygène ?,O,1
Quel instrument mesure la température ?,Thermomètre,1
Combien de planètes y a-t-il dans notre système solaire ?,8,1
Quelle est la substance la plus dure du corps humain ?,Émail (dents),3
Quel minéral est le plus dur sur l'échelle de Mohs ?,Diamant,2
Comment appelle-t-on les globules rouges ?,Hématies (ou Érythrocytes),5
Quelle est l'unité de mesure de la fréquence ?,Hertz,3
Quel animal est le plus proche parent de l'homme génétiquement ?,Chimpanzé,2
Quelle couche d'ozone nous protège des rayons UV ?,Stratosphère,4
Quel est le symbole chimique du Carbone ?,C,1
Qui a découvert le Radium ?,Marie Curie,2
Quel est le nom du premier homme sur la Lune ?,Neil Armstrong,1
Quelle est la science qui étudie les fossiles ?,Paléontologie,3
Quel est le muscle le plus fort du corps humain (proportionnellement) ?,Langue (ou Masséter),3
Combien de cœurs a une pieuvre ?,3,4
Quel est le pH de l'eau pure (neutre) ?,7,3
Quel est l'élément chimique le plus léger ?,Hydrogène,2
Quelle est la distance approximative Terre-Soleil ?,150 millions de km,4
Quel est le nom de la cellule nerveuse ?,Neurone,3
Quel animal pond les plus gros œufs ?,Autruche,2
Quelle est la partie colorée de l'œil ?,Iris,2
Quel métal rouille au contact de l'humidité ?,Fer,1
Qui a énoncé la loi de la gravitation universelle en recevant une pomme ?,Isaac Newton,1
Quel est le nom scientifique de l'eau de Javel ?,Hypochlorite de sodium,5
Quelle est la planète la plus chaude du système solaire ?,Vénus,3
Quel organe filtre le sang et produit l'urine ?,Reins,2
Combien de paires de chromosomes a un être humain ?,23,3
Quel est le nom de la première brebis clonée ?,Dolly,3
Quel est l'unité de mesure de la puissance électrique ?,Watt,2
Quel gaz les plantes rejettent-elles lors de la photosynthèse ?,Oxygène,1
Quel est le plus grand océan de la Terre ?,Pacifique,1
Quel est le nom de l'échelle mesurant la magnitude des séismes ?,Richter,2
Quelle est la température du zéro absolu ?, -273,15 degrés,5
Quel est le symbole chimique de l'Hélium ?,He,2
Quel oiseau est capable de voler à reculons ?,Colibri,2
Quelle est la molécule porteuse de l'information génétique ?,ADN,2
Quel est le nom du télescope spatial lancé en 1990 ?,Hubble,3
Qui est l'inventeur du téléphone ?,Alexander Graham Bell,2
Quel est le composant principal du verre ?,Silice (Sable),3
Quelle est la durée de rotation de la Terre sur elle-même ?,24 heures,1
Quel est l'organe de l'ouïe ?,Oreille,1
Combien de vertèbres cervicales possède une girafe ?,7 (comme l'homme),4
Quel est le symbole chimique du Sodium ?,Na,4
Quelle est la science qui étudie les insectes ?,Entomologie,5
Quel est le plus gros poisson du monde ?,Requin-baleine,3
Comment appelle-t-on la transformation d'une chenille en papillon ?,Métamorphose,1
Quel est le nom de la première chienne dans l'espace ?,Laïka,3
Quelle vitamine est produite par le corps grâce au soleil ?,Vitamine D,2
Quel est le métal le plus conducteur ?,Argent,5
Quelle est la planète la plus éloignée du Soleil ?,Neptune,3
Quel est le nom du supercontinent unique il y a 200 millions d'années ?,Pangée,4
Quel instrument mesure la pression atmosphérique ?,Baromètre,3
Qui a inventé la presse à imprimer ?,Gutenberg,2
Quel est le symbole chimique du Potassium ?,K,4
Quelle partie de l'atome a une charge négative ?,Électron,3
Quel est l'animal qui tue le plus d'humains par an (maladies) ?,Moustique,2
Quel est le nom du processus par lequel l'eau passe de liquide à gaz ?,Évaporation,2
Quel est le nombre Pi (2 décimales) ?,3,14,1
Qui est considéré comme le père de la médecine moderne ?,Hippocrate,4
Quel est le symbole chimique du Plomb ?,Pb,5
Quelle est la couche gazeuse qui entoure la Terre ?,Atmosphère,1
Quel est l'os le plus long du corps humain ?,Fémur,2
Quel animal a une poche pour porter ses petits ?,Kangourou (Marsupiaux),1
Quelle est la source d'énergie d'une étoile ?,Fusion nucléaire,4
Quel est le gaz hilarant ?,Protoxyde d'azote,4
Qui a peint l'Homme de Vitruve (anatomie) ?,Léonard de Vinci,2
Quel est le symbole chimique de l'Argent ?,Ag,4
Quelle est la vitesse du son dans l'air (environ) ?,340 m/s,4
Quel organe produit l'insuline ?,Pancréas,3
Quel est le plus grand volcan du système solaire (sur Mars) ?,Mont Olympe,4
Quel animal est le symbole du WWF ?,Panda,1
Quelle est l'unité de mesure de l'énergie (aliments) ?,Calorie (ou Joule),2
Quel est le nom de la galaxie d'Andromède ?,M31,5
Qui a inventé le paratonnerre ?,Benjamin Franklin,3
Quel est le symbole chimique du Cuivre ?,Cu,3
Combien de temps met la lumière du soleil pour atteindre la Terre ?,8 minutes,3
Quel est le nom de la maladie causée par une carence en vitamine C ?,Scorbut,4
Quel est le mammifère volant ?,Chauve-souris,1
Quelle est la partie de la cellule qui contient l'ADN ?,Noyau,2
Quel est le symbole chimique du Chlore ?,Cl,3
Quelle est la température moyenne du corps humain ?,37 degrés,1
Quel est l'acide présent dans l'estomac ?,Acide chlorhydrique,4
Quel est le nom du premier satellite artificiel ?,Spoutnik,3
Qui a découvert les rayons X ?,Röntgen,5
Quel est le reptile qui change de couleur ?,Caméléon,1
Quelle est la science qui étudie les volcans ?,Vulcanologie,2
Quel est le symbole chimique du Calcium ?,Ca,2
Quelle partie de la fleur produit le pollen ?,Étamine,4
Quel est le nom de l'étoile polaire ?,Polaris,3
Qui a formulé les lois du mouvement ?,Isaac Newton,2
Quel est le gaz à effet de serre principal ?,Dioxyde de carbone (CO2),2
Quel est l'organe qui permet aux poissons de respirer ?,Branchies,1
Quelle est la durée d'une grossesse humaine en mois ?,9,1
Quel est le symbole chimique de l'Azote ?,N,3
Quelle est la planète la plus brillante vue depuis la Terre ?,Vénus,2
Quel est l'inventeur de la dynamite ?,Alfred Nobel,3
Quelle maladie est causée par le bacille de Koch ?,Tuberculose,5
Quel est le nom du rover qui a atterri sur Mars en 2021 ?,Perseverance,3
Quelle est l'unité de mesure de la force ?,Newton,3
Quel est le symbole chimique du Soufre ?,S,3
Quel est l'animal qui vit le plus longtemps (vertébré) ?,Requin du Groenland,5
Quelle est la réaction inverse de la photosynthèse ?,Respiration cellulaire,4
Qui a découvert la structure de l'ADN (Double hélice) ?,Watson et Crick,5
Quel est le métal principal utilisé dans les batteries de téléphone ?,Lithium,2
Quel est le symbole chimique du Mercure ?,Hg,5
Quelle est la science qui étudie les oiseaux ?,Ornithologie,5
Quel est le plus grand désert du monde (froid) ?,Antarctique,4
Quelle est la partie blanche de l'œuf ?,Albumen (ou Blanc),3
Qui a inventé la machine à vapeur (perfectionnement) ?,James Watt,3
Quel est le symbole chimique du Magnésium ?,Mg,3
Quelle est la plus petite unité de la vie ?,Cellule,2
Quel est le nom du télescope spatial successeur de Hubble (2021) ?,James Webb,3
Quelle est la température de la surface du Soleil (environ) ?,5500 degrés,4
Quel est l'insecte qui produit de la soie ?,Ver à soie,1
Quel est le symbole chimique du Phosphore ?,P,4
Quelle est la maladie provoquée par le virus VIH ?,SIDA,2
Qui a inventé le World Wide Web ?,Tim Berners-Lee,4
Quel est le nom de la force qui s'oppose au mouvement ?,Frottement,3
Quelle est la planète naine la plus connue ?,Pluton,1
Quel est le symbole chimique du Silicium ?,Si,4
Quel est l'organe qui détruit les vieux globules rouges ?,Rate,5
Quelle est l'unité de mesure de la pression ?,Pascal,4
Qui a démontré que la Terre tourne autour du Soleil (Héliocentrisme) ?,Copernic (ou Galilée),3
Quel est le symbole chimique de l'Uranium ?,U,2
Quelle est la science qui étudie le climat ?,Climatologie,2
Quel est le seul mammifère qui pond des œufs (avec l'échidné) ?,Ornithorynque,3
Quelle est la vitesse de la lumière (symbole) ?,c,3
Quel est le nom de la première femme prix Nobel ?,Marie Curie,2
Quel est le symbole chimique du Zinc ?,Zn,3
Quelle est la partie de l'ordinateur qui fait les calculs ?,Processeur (CPU),2
Quel est le nuage d'orage par excellence ?,Cumulonimbus,4
Qui a inventé le vaccin contre la rage ?,Louis Pasteur,2
Quel est le symbole chimique du Fluor ?,F,3
Quelle est la planète qui tourne "couchée" sur son orbite ?,Uranus,4
Quel est l'animal le plus venimeux du monde (méduse) ?,Chironex (ou Cuboméduse),5
Quelle est l'unité d'intensité lumineuse ?,Candela,5
Quel est le nom de la théorie de la naissance de l'univers ?,Big Bang,2
Quel est le symbole chimique de l'Étain ?,Sn,5
Quelle est la plus grande artère du corps humain ?,Aorte,3
Qui a inventé la pile électrique ?,Volta,4
Quel est le nom du boson découvert au CERN en 2012 ?,Boson de Higgs,5
Quel est le symbole chimique de l'Iode ?,I,4
Quelle est la science qui étudie les roches ?,Géologie,2
Quel est l'élément chimique le plus lourd présent naturellement ?,Uranium,4
Qui a dit "Eppur si muove" (Et pourtant elle tourne) ?,Galilée,3
Quel est le nom du premier clone animal (brebis) ?,Dolly,2
Quel est le symbole chimique du Néon ?,Ne,2
Quelle est la couleur du sang d'une limule ?,Bleu,5
Quel est l'inventeur de la radio (souvent cité) ?,Marconi,4
Quel est le nom de l'échelle de mesure de la dureté des minéraux ?,Mohs,5
Quel est le symbole chimique du Platine ?,Pt,4
Quelle est la planète la plus dense du système solaire ?,Terre,4
Qui a découvert les lois de l'hérédité (Pois) ?,Mendel,5
Quel est le symbole chimique du Manganèse ?,Mn,5
Quel est le nom du supervolcan américain ?,Yellowstone,3
Quelle est la distance parcourue par la lumière en un an ?,Année-lumière,2
Quel est le symbole chimique de l'Arsenic ?,As,5
