QUESTION,REPONSE,DIFFICULTE
Quel est le plus grand animal terrestre ?,Éléphant,1
Quel est le roi de la jungle ?,Lion,1
De quoi se nourrit principalement le Panda géant ?,Bambou,1
Quel animal a le plus long cou ?,Girafe,1
Quel est le meilleur ami de l'homme ?,Chien,1
Combien de pattes a une araignée ?,8,1
Quel oiseau ne vole pas et vit sur la banquise (Antarctique) ?,Manchot,2
Quel animal produit du lait pour faire du fromage de chèvre ?,Chèvre,1
Quel est le plus grand mammifère marin ?,Baleine bleue,1
Quel félin court le plus vite ?,Guépard,1
Quel animal a une trompe ?,Éléphant,1
Combien de bosses a un dromadaire ?,1,2
Quel animal porte sa maison sur son dos ?,Escargot (ou Tortue),1
Quel est le seul mammifère capable de voler ?,Chauve-souris,2
Quel animal est connu pour sa mémoire ?,Éléphant,1
Quel reptile change de couleur pour se camoufler ?,Caméléon,1
Quel animal rayé ressemble au cheval ?,Zèbre,1
Quel oiseau pond les plus gros œufs ?,Autruche,1
Comment appelle-t-on le petit du chat ?,Chaton,1
Quel animal construit des barrages sur les rivières ?,Castor,1
Combien de tentacules a une pieuvre ?,8,2
Quel animal produit de la laine ?,Mouton,1
Quel insecte fabrique du miel ?,Abeille,1
Quel est le plus grand primate ?,Gorille,1
Quel animal a des piquants sur le dos pour se défendre ?,Hérisson (ou Porc-épic),1
Quel oiseau est le symbole de la paix ?,Colombe,1
Quel est le prédateur principal des gazelles en Afrique ?,Lion (ou Guépard),1
Quel animal dort la tête en bas ?,Chauve-souris,1
Comment appelle-t-on la femelle du taureau ?,Vache,1
Quel poisson est connu pour remonter les rivières pour pondre ?,Saumon,2
Quel est l'animal le plus lent (symbole de lenteur) ?,Tortue (ou Paresseux),1
Quel animal a une poche ventrale pour son petit ?,Kangourou,1
Quel est le cri du chien ?,Aboiement,1
Quel insecte se transforme en papillon ?,Chenille,1
Quel est le plus gros poisson carnivore ?,Grand requin blanc,2
Quel animal est le symbole des États-Unis ?,Aigle (Pygargue),2
Quel animal a des bois qui tombent et repoussent chaque année ?,Cerf,2
Quel oiseau est capable de tourner sa tête à 270 degrés ?,Hibou (ou Chouette),2
Comment appelle-t-on un groupe de loups ?,Meute,2
Quel animal est surnommé le "vaisseau du désert" ?,Chameau,2
Combien de pattes a un insecte (en général) ?,6,2
Quel animal est célèbre pour laver sa nourriture (raton) ?,Raton laveur,2
Quel est l'animal le plus grand du monde (toutes catégories) ?,Baleine bleue,1
Quel animal a des vertèbres cervicales aussi nombreuses que l'homme (7) ?,Girafe,3
Quel crustacé marche de côté ?,Crabe,1
Quel oiseau vole à reculons ?,Colibri,2
Quel est le mâle de la brebis ?,Bélier,2
Quel animal a une corne sur le nez ?,Rhinocéros,1
Quel est le nom du petit de la poule ?,Poussin,1
Quel animal vit dans une ruche ?,Abeille,1
Quel animal est la mascotte de la marque Lacoste ?,Crocodile,1
Quel mammifère marin est connu pour son intelligence et ses sauts ?,Dauphin,1
Quel est l'oiseau le plus rapide en piqué ?,Faucon pèlerin,3
Quel animal mange des eucalyptus ?,Koala,2
Comment appelle-t-on le petit du chien ?,Chiot,1
Quel animal a la morsure la plus puissante (Hyène, Lion, Croco) ?,Crocodile (marin),4
Quel ours vit sur la banquise ?,Ours polaire,1
Quel animal expulse de l'encre pour fuir ?,Seiche (ou Pieuvre/Calamar),2
Combien de bosses a un chameau ?,2,2
Quel est le mâle de la chèvre ?,Bouc,2
Quel insecte porte bonheur (rouge à points noirs) ?,Coccinelle,1
Quel animal est célèbre pour faire le mort (Opossum) ?,Opossum,4
Quel est le plus gros serpent du monde (poids) ?,Anaconda,3
Quel oiseau imite la voix humaine ?,Perroquet,1
Quel animal est l'ancêtre du chien domestique ?,Loup,1
Quel mammifère pond des œufs ?,Ornithorynque,3
Quel est le nom du petit du cheval ?,Poulain,1
Quel animal a la langue bleue ?,Girafe (ou Chow-chow),3
Quel singe est le plus proche de l'homme génétiquement ?,Chimpanzé (Bonobo),2
Quel est le nom de la femelle du sanglier ?,Laie,4
Quel animal utilise des ultrasons (écholocation) ?,Chauve-souris (ou Dauphin),3
Combien de cœurs a une pieuvre ?,3,4
Quel animal est un "plantigrade" (marche sur la plante des pieds) ?,Ours (ou Homme),4
Quel oiseau ne vole pas et vit en Australie ?,Émeu,3
Quel est le plus grand félin (en taille/poids) ?,Tigre,2
Quel animal peut dormir 3 ans (escargot) ?,Escargot,5
Quel animal a la gestation la plus longue (22 mois) ?,Éléphant,3
Comment appelle-t-on l'élevage des abeilles ?,Apiculture,4
Quel est le petit du lapin ?,Lapereau,3
Quel animal est la proie favorite du Grand Requin Blanc ?,Phoque (ou Otarie),2
Quelle est la particularité des dents du requin ?,Elles repoussent indéfiniment,3
Quel animal construit des termitières géantes ?,Termite,1
Quel est le nom du mâle de l'oie ?,Jars,5
Quel animal est "Bambi" ?,Faon (Cerf),1
Quel est le plus petit oiseau du monde ?,Colibri (Oiseau-mouche),2
Quel animal possède des empreintes digitales proches de l'homme ?,Koala,5
Quel est le nom du petit de la vache ?,Veau,1
Quel animal est vénéré en Inde ?,Vache,2
Quel est le seul continent sans reptiles ?,Antarctique,3
Quel oiseau migrateur forme des "V" dans le ciel ?,Oie (ou Canard/Grue),2
Quel animal a une poche pour stocker la nourriture dans ses joues ?,Hamster (ou Écureuil),1
Quel est le nom de la femelle du cerf ?,Biche,2
Quel poisson n'a pas d'arêtes (squelette cartilagineux) ?,Requin (ou Raie),3
Quel animal est surnommé "l'aspirateur des mers" ?,Concombre de mer,5
Quel insecte transmet la maladie du sommeil ?,Mouche Tsé-tsé,4
Quel est le nom du petit du mouton ?,Agneau,1
Quel animal a inspiré le mythe de la licorne (marin) ?,Narval,3
Quel est le régime alimentaire d'un animal "piscivore" ?,Poissons,4
Quel est le nom scientifique de l'étude des oiseaux ?,Ornithologie,5
Quel animal peut perdre sa queue et la faire repousser ?,Lézard,2
Quel mammifère marin a une défense torsadée ?,Narval,3
Quel oiseau est capable de dormir en volant ?,Martinet (ou Frégate),5
Quel est le plus grand reptile vivant ?,Crocodile marin,3
Quel animal est la mascotte de Linux ?,Manchot,3
Quel est le nom du cri de la vache ?,Meuglement,1
Quel animal est surnommé "l'ours d'eau" (microscopique) ?,Tardigrade,5
Quel est le petit du kangourou ?,Joey,5
Quel animal a la plus forte pression mâchoire au monde ?,Crocodile marin,4
Quel oiseau pond ses œufs dans le nid des autres ?,Coucou,3
Quel est le nom de la femelle du loup ?,Louve,1
Quel animal est le "Diable de Tasmanie" ?,Marsupial,3
Quel est l'animal terrestre le plus bruyant ?,Singe hurleur,4
Quel poisson peut gonfler pour effrayer ses prédateurs ?,Poisson-globe (Fugu),2
Quel est le nom du petit de la lionne ?,Lionceau,1
Quel animal a 3 paupières ?,Chameau (et beaucoup d'oiseaux),4
Quel insecte mange son partenaire après l'accouplement ?,Mante religieuse,3
Quel est le nom du petit du cochon ?,Porcelet,1
Quel animal est l'orque (Baleine ou Dauphin) ?,Dauphin,3
Quel est le mammifère le plus trafiqué au monde (écailles) ?,Pangolin,4
Quel animal a le sang bleu (crustacé) ?,Limule,5
Quel oiseau est incapable de marcher (pattes trop courtes) ?,Martinet,5
Quel est le nom du cri du cheval ?,Hennissement,2
Quel animal vit dans un terrier appelé "garenne" ?,Lapin,3
Quel est le plus grand poisson du monde (qui mange du plancton) ?,Requin-baleine,3
Quel animal est la femelle de l'âne ?,Ânesse,2
Quel est le petit de l'âne ?,Ânon,3
Quel oiseau est l'emblème de la Nouvelle-Zélande ?,Kiwi,3
Quel animal peut vivre sans tête plusieurs jours (insecte) ?,Cafard,3
Quel est le nom du mâle de la fourmi ?,Il n'a pas de nom spécifique (Mâle),5
Note: Souvent appelé "Prince" ou simplement "Mâle ailé".,Mâle (ou Prince),5
Quel animal a des rayures noires sur la peau (pas que les poils) ?,Tigre,4
Quel est le seul félin qui vit en groupe social ?,Lion,2
Quel animal est un "Lépidoptère" ?,Papillon,5
Quel mammifère a la peau la plus épaisse ?,Rhinocéros (ou Hippopotame),3
Quel est le nom du petit du tigre ?,Tigreau,2
Quel oiseau plongeur est souvent confondu avec le manchot en français ?,Pingouin (Petit Pingouin),4
Quel animal a une espérance de vie de 24 heures (insecte) ?,Éphémère,4
Quel est le cri du lion ?,Rugissement,1
Quel animal est un "octopode" ?,Pieuvre,4
Quel animal produit le "Musc" ?,Chevrotain (ou Porte-musc),5
Quel est le plus grand animal invertébré ?,Calamar colossal,4
Quel animal mange des os (nécrophage) ?,Gypaète barbu (ou Hyène),5
Quel est le nom du petit de l'ours ?,Ourson,1
Quel animal a les yeux plus gros que le cerveau ?,Autruche,3
Quel mammifère vole mais n'est pas une chauve-souris (planeur) ?,Écureuil volant,3
Quel est le nom de la femelle du canard ?,Cane,2
Quel animal est un "céphalopode" ?,Pieuvre (ou Calamar),4
Quel est le seul animal dont le mâle porte les bébés ?,Hippocampe,3
Quel animal est un "pachyderme" ?,Éléphant (ou Rhino/Hippo),3
Quel insecte produit de la lumière ?,Luciole,1
