QUESTION,REPONSE,DIFFICULTE
Quel est le nom de la souris mascotte de Disney ?,Mickey Mouse,1
Quel animal est Simba ?,Un lion,1
Quelle reine a le pouvoir de contrôler la glace ?,Elsa (La Reine des Neiges),1
Quel est le nom du cowboy dans Toy Story ?,Woody,1
De quelle couleur est le géant Hulk ?,Vert,1
Quel fruit empoisonné mange Blanche-Neige ?,Pomme,1
Quel est le nom du poisson clown à la petite nageoire ?,Nemo,1
Quel super-héros porte une armure rouge et or ?,Iron Man,1
Dans quel pays se passe l'action de Mulan ?,Chine,1
Quel est le nom de l'ours dans le Livre de la Jungle ?,Baloo,1
Quelle princesse perd sa chaussure de verre ?,Cendrillon,1
Qui est le méchant dans le Roi Lion ?,Scar,1
Quel est le nom du bonhomme de neige dans la Reine des Neiges ?,Olaf,1
Quel jouet astronaute est le meilleur ami de Woody ?,Buzz l'Éclair,1
Quel animal est Dumbo ?,Un éléphant,1
Quel super-héros grimpe aux murs et lance des toiles ?,Spider-Man,1
Quel est le nom de la fée dans Peter Pan ?,Fée Clochette,1
Dans quel film trouve-t-on une voiture de course nommée Flash McQueen ?,Cars,1
Quelle princesse a une très longue chevelure magique ?,Raiponce,1
Quel dieu du tonnerre est un Avenger ?,Thor,1
Quel est le nom du rat cuisinier dans Ratatouille ?,Rémy,1
Qui est l'amoureuse de Mickey ?,Minnie,1
Quel est le nom du tigre d'Aladdin ?,Rajah,2
Dans quel film voyage-t-on au Pays des Morts (Coco) ?,Coco,1
Quel est le vrai nom de Captain America ?,Steve Rogers,2
Quel animal est Bambi ?,Un faon (Cerf),1
Qui est le méchant capitaine dans Peter Pan ?,Capitaine Crochet,1
Quel est le nom du génie dans Aladdin (en bleu) ?,Génie,1
Quelle émotion est jaune et joyeuse dans Vice-Versa ?,Joie,2
Quel est le nom du royaume d'Elsa et Anna ?,Arendelle,2
Qui est le père de Luke Skywalker (racheté par Disney) ?,Dark Vador,1
Quel est le nom du robot compacteur de déchets ?,Wall-E,1
Quelle est la phrase fétiche de Buzz l'Éclair ?,Vers l'infini et au-delà,1
Qui est le méchant violet qui claque des doigts dans Avengers ?,Thanos,2
Quel est le nom de la sirène rousse ?,Ariel,1
Quel animal est Sébastien dans la Petite Sirène ?,Un crabe,2
Quel est le nom du chien de Mickey ?,Pluto,2
Dans quel film trouve-t-on la famille Parr (Super-héros) ?,Les Indestructibles,1
Quel est le nom du dragon de Mulan ?,Mushu,2
Qui a volé le cœur de Te Fiti dans Vaiana ?,Maui,2
Quel est le métal du bouclier de Captain America ?,Vibranium,3
Quel est le nom de la Bête dans la Belle et la Bête (Piège) ?,Il n'a pas de nom (La Bête),5
Note: Souvent appelé Adam par les fans, mais jamais dans le film.,La Bête,1
Quel est le nom de la ville dans Zootopie ?,Zootopie,1
Qui est le frère de Thor ?,Loki,2
Quel est le nom du pantin de bois qui veut devenir un vrai petit garçon ?,Pinocchio,1
Quelle princesse dort pendant 100 ans ?,Aurore (La Belle au Bois Dormant),2
Quel est le nom de l'île de Peter Pan ?,Le Pays Imaginaire (Neverland),2
Qui est le méchant dans les 101 Dalmatiens ?,Cruella d'Enfer,1
Quel est le nom du petit robot blanc infirmier dans Les Nouveaux Héros ?,Baymax,3
Dans quel film trouve-t-on un vieux monsieur et des ballons ?,Là-haut,1
Quel est le nom de la nounou magicienne ?,Mary Poppins,1
Qui est le roi du Wakanda (Black Panther) ?,T'Challa,3
Quel animal est Pumbaa ?,Un phacochère,3
Quel est le nom de la tasse ébréchée dans la Belle et la Bête ?,Zip,3
Dans quel océan se déroule le Monde de Nemo ?,Pacifique,3
Qui est l'ennemi juré de Batman ? (Piège : c'est DC, pas Marvel/Disney). Remplacé : Qui est l'ennemi de Spider-Man (Bouffon) ?,Le Bouffon Vert,2
Quel est le nom du petit monstre vert à un œil dans Monstres et Cie ?,Bob Razowski,2
Quel est le nom du gros monstre bleu dans Monstres et Cie ?,Sulli (Jacques Sullivan),2
Quelle princesse embrasse une grenouille ?,Tiana,2
Quel est le nom du renard dans Rox et Rouky ?,Rox,3
Qui est le chef des Avengers (souvent considéré comme tel, avec l'œil bandé) ?,Nick Fury,3
Quel est le nom de la planète de Thanos ?,Titan,4
Dans quel film trouve-t-on la chanson "Il en faut peu pour être heureux" ?,Le Livre de la Jungle,1
Quel est le nom de la mère de Bambi ? (Piège, elle meurt sans être nommée souvent). Remplacé : Quel est le nom du lapin ami de Bambi ?,Panpan,2
Qui est la méchante sorcière dans la Petite Sirène ?,Ursula,2
Quel est le nom de la ville dans Cars ?,Radiator Springs,3
Qui est le premier personnage créé par Walt Disney (avant Mickey) ?,Oswald le lapin chanceux,5
Quel est le nom de l'organisation secrète dans Marvel (S.H.I.E.L.D.) ?,S.H.I.E.L.D.,3
Dans quel film trouve-t-on les émotions : Colère, Peur, Dégoût ?,Vice-Versa,1
Quel est le nom du lézard compagnon de Raiponce ?,Pascal,3
Qui est la sœur d'Elsa ?,Anna,1
Quel est le nom du raton laveur dans Pocahontas ?,Meeko,4
Quel super-héros devient vert quand il est en colère ?,Hulk,1
Quelle est la profession de Geppetto ?,Menuisier (Fabricant de jouets),2
Quel est le nom du singe d'Aladdin ?,Abu,3
Dans quel film une maison s'envole-t-elle avec des ballons ?,Là-haut,1
Qui est le méchant dans Toy Story 1 (le petit garçon) ?,Sid,3
Quel est le nom de la tribu d'oursons dans Star Wars (racheté par Disney) ?,Ewoks,3
Quel est le nom de l'arbre vivant dans les Gardiens de la Galaxie ?,Groot,2
Quelle est la couleur de la robe de Belle lors du bal ?,Jaune (ou Or),2
Quel est le nom du tapis volant d'Aladdin ?,Le Tapis,2
Qui est le père de la Petite Sirène ?,Le Roi Triton,3
Quel est le nom du cochon tirelire dans Toy Story ?,Bayonne,4
Quelle princesse est une Amérindienne ?,Pocahontas,1
Dans quel film trouve-t-on la chanson "Ce rêve bleu" ?,Aladdin,1
Quel est le nom du dinosaure vert peureux dans Toy Story ?,Rex,3
Qui est le sorcier suprême dans Marvel (avant Wong) ?,Doctor Strange,2
Quel est le nom du château emblématique de Disney ?,Château de Cendrillon (ou Belle au Bois Dormant selon les parcs),2
Quel animal est Judy Hopps dans Zootopie ?,Un lapin,2
Qui est le grand méchant loup dans les Trois Petits Cochons ?,Le Grand Méchant Loup,1
Quel est le nom de la cane amoureuse de Donald ?,Daisy,2
Dans quel film trouve-t-on un personnage nommé "Tristesse" ?,Vice-Versa,1
Quel est le nom du poisson chirurgien amnésique ?,Dory,1
Qui a racheté Marvel en 2009 ?,Disney,3
Quel est le nom du demi-dieu grec entraîné par Philoctète ?,Hercule,2
Quel est le nom de la girafe qui meurt dans le Roi Lion (Piège, aucune girafe ne meurt). Remplacé : Comment s'appelle l'oiseau conseiller du Roi Lion ?,Zazu,3
Qui est la méchante qui veut la peau des dalmatiens ?,Cruella d'Enfer,1
Quel est le nom du créateur des Indestructibles (la costumière) ?,Edna Mode,4
Dans quel film trouve-t-on "Hakuna Matata" ?,Le Roi Lion,1
Quel est le nom de la pierre verte du temps dans Marvel ?,Pierre du Temps (Œil d'Agamotto),4
Quel est le vrai nom de la Belle au Bois Dormant (donné par ses parents) ?,Aurore,3
Quel est le surnom de la Belle au Bois Dormant (donné par les fées) ?,Rose (Briar Rose),5
Qui est le méchant dans Hercule (dieu des enfers) ?,Hadès,2
Quel est le nom de l'ami de Vaiana (le coq) ?,Hei Hei,3
Dans quel film trouve-t-on un rat qui rêve d'être chef ?,Ratatouille,1
Quel est le nom du chien dans Là-haut (qui parle) ?,Dug,3
Quelle est la particularité de la maison des Madrigal dans Encanto ?,Elle est magique (Casita),2
Qui ne doit pas être nommé dans Encanto ?,Bruno,3
