QUESTION,REPONSE,DIFFICULTE
Qui est surnommé le "King of Pop" ?,Michael Jackson,1
Quel groupe chante "We Will Rock You" ?,Queen,1
Qui interprète "Allumer le feu" ?,Johnny Hallyday,1
Quelle chanteuse chante "La Vie en rose" ?,Edith Piaf,1
Quel est le prénom de Mozart ?,Wolfgang,2
Quel groupe a chanté "Yellow Submarine" ?,The Beatles,1
Qui chante "Papaoutai" ?,Stromae,1
Quel instrument a 88 touches noires et blanches ?,Piano,1
Qui chante "Single Ladies" ?,Beyoncé,1
Quel rappeur a chanté "Lose Yourself" ?,Eminem,1
Qui est la reine de la Pop (Queen of Pop) ?,Madonna,1
Quel groupe français porte des casques de robots ?,Daft Punk,1
Qui chante "Ne me quitte pas" ?,Jacques Brel,2
Quel instrument joue Louis Armstrong ?,Trompette,1
Quelle chanteuse a interprété "My Heart Will Go On" ?,Céline Dion,1
Qui a composé "Les Quatre Saisons" ?,Vivaldi,2
Quel groupe a chanté "Satisfaction" ?,The Rolling Stones,1
Qui chante "Djadja" ?,Aya Nakamura,1
Quel est l'hymne national de la France ?,La Marseillaise,1
Qui chante "Bohemian Rhapsody" ?,Queen,1
Combien de cordes a une guitare standard ?,6,1
Qui chante "Je te donne" avec Jean-Jacques Goldman ?,Michael Jones,2
Quel artiste a chanté "Purple Rain" ?,Prince,2
Qui chante "Hello" (2015) ?,Adele,1
Quel groupe a chanté "Smells Like Teen Spirit" ?,Nirvana,1
Qui est le chanteur de U2 ?,Bono,2
Qui chante "Les Lacs du Connemara" ?,Michel Sardou,1
Quel est le prénom de Beethoven ?,Ludwig,3
Qui chante "Thriller" ?,Michael Jackson,1
Quelle chanteuse a popularisé "Like a Virgin" ?,Madonna,1
Quel rappeur français fait le signe "Jul" avec ses mains ?,Jul,1
Qui chante "I Will Always Love You" (Bodyguard) ?,Whitney Houston,1
Quel groupe suédois a chanté "Dancing Queen" ?,ABBA,1
Qui a composé la "Lettre à Élise" ?,Beethoven,2
Quel instrument joue Ringo Starr ?,Batterie,2
Qui chante "Mistral Gagnant" ?,Renaud,2
Quel est le vrai nom de Johnny Hallyday ?,Jean-Philippe Smet,3
Qui chante "Wannabe" ?,Spice Girls,1
Quel chanteur est surnommé "The Boss" ?,Bruce Springsteen,3
Qui chante "La Bohème" ?,Charles Aznavour,1
Quel groupe a chanté "Highway to Hell" ?,AC/DC,1
Qui chante "Happy" ?,Pharrell Williams,1
Quel est le roi du Reggae ?,Bob Marley,1
Qui chante "L'Envie d'aimer" ?,Daniel Lévi,2
Quel groupe a chanté "Hotel California" ?,The Eagles,2
Qui chante "Poker Face" ?,Lady Gaga,1
Quel artiste joue de la guitare à l'envers (gaucher) ?,Jimi Hendrix,2
Qui chante "Alexandrie Alexandra" ?,Claude François,1
Quel est l'instrument de Yo-Yo Ma ?,Violoncelle,4
Qui a gagné l'Eurovision pour la France en 1977 (L'Oiseau et l'Enfant) ?,Marie Myriam,3
Qui chante "Uptown Funk" ?,Bruno Mars,1
Quel DJ français a fait "Titanium" ?,David Guetta,1
Qui chante "Formidable" ?,Stromae,1
Quel groupe chante "Wonderwall" ?,Oasis,1
Qui est le chanteur de "Angie" ?,Mick Jagger,2
Quel rappeur américain a été tué en 1996 ?,Tupac (2Pac),2
Qui chante "Je t'aime... moi non plus" ?,Serge Gainsbourg (et Jane Birkin),2
Quel est l'instrument principal de Frédéric Chopin ?,Piano,2
Qui chante "Rehab" ?,Amy Winehouse,1
Quel groupe chante "Sunday Bloody Sunday" ?,U2,2
Qui chante "Sapés comme jamais" ?,Maître Gims,1
Quel est le nom du chanteur de Nirvana ?,Kurt Cobain,2
Qui chante "Imagine" ?,John Lennon,1
Quel groupe chante "Stayin' Alive" ?,Bee Gees,1
Qui chante "Balance ton quoi" ?,Angèle,1
Quel compositeur est sourd à la fin de sa vie ?,Beethoven,2
Qui chante "Despacito" ?,Luis Fonsi,1
Quel groupe chante "Californication" ?,Red Hot Chili Peppers,2
Qui chante "Baby One More Time" ?,Britney Spears,1
Quel instrument a 4 cordes et est plus gros qu'un violon ?,Violoncelle (ou Contrebasse),3
Qui chante "Respect" ?,Aretha Franklin,2
Quel rappeur a fondé le groupe NTM avec Kool Shen ?,JoeyStarr,2
Qui chante "Quelqu'un m'a dit" ?,Carla Bruni,2
Quel groupe chante "Let It Be" ?,The Beatles,1
Qui est le "Roi du Rock'n'roll" ?,Elvis Presley,1
Qui chante "Sous le vent" avec Garou ?,Céline Dion,2
Quel est l'instrument de Mstislav Rostropovitch ?,Violoncelle,5
Qui chante "Bad Guy" ?,Billie Eilish,1
Quel groupe chante "Eye of the Tiger" ?,Survivor,2
Qui a composé "Le Boléro" ?,Ravel,3
Qui chante "Chandelier" ?,Sia,2
Quel chanteur français a écrit "Comme d'habitude" (My Way) ?,Claude François,3
Qui chante "Gangnam Style" ?,Psy,1
Quel groupe a chanté "I Want to Break Free" ?,Queen,1
Qui est le chanteur de Linkin Park (décédé en 2017) ?,Chester Bennington,3
Qui chante "La Grenade" ?,Clara Luciani,2
Quel instrument joue Kenny G ?,Saxophone,2
Qui chante "Hallelujah" (version originale) ?,Leonard Cohen,4
Quel groupe chante "Paint It, Black" ?,The Rolling Stones,2
Qui chante "Umbrella" ?,Rihanna,1
Quel compositeur a écrit "La Flûte enchantée" ?,Mozart,3
Qui chante "Joe le taxi" ?,Vanessa Paradis,1
Quel groupe chante "Zombie" ?,The Cranberries,2
Qui est le chanteur de Indochine ?,Nicola Sirkis,2
Qui chante "Empire State of Mind" ?,Jay-Z (et Alicia Keys),2
Quel est l'instrument de Miles Davis ?,Trompette,2
Qui chante "Santé" ?,Stromae,1
Quel groupe chante "Smoke on the Water" ?,Deep Purple,3
Qui a composé "Le Lac des cygnes" ?,Tchaïkovski,3
Qui chante "Femme libérée" ?,Cookie Dingler,2
Quel est le nom de scène de Marshall Mathers ?,Eminem,1
Qui chante "Shape of You" ?,Ed Sheeran,1
Quel groupe chante "Another Brick in the Wall" ?,Pink Floyd,2
Qui chante "L'Aventurier" ?,Indochine,1
Quel est l'instrument de Ray Charles ?,Piano,1
Qui chante "Tous les cris les S.O.S." ?,Daniel Balavoine,2
Quel groupe chante "Message in a Bottle" ?,The Police,2
Qui est le batteur des Beatles ?,Ringo Starr,3
Qui chante "Shake It Off" ?,Taylor Swift,1
Quel chanteur français est surnommé "L'Amiral" ?,Michel Polnareff,3
Qui chante "Bella Ciao" (remix récent ou chant partisan) ?,Maître Gims (ou Chant populaire),2
Quel groupe chante "Sweet Child O' Mine" ?,Guns N' Roses,2
Qui a composé la musique de "Star Wars" ?,John Williams,1
Qui chante "La Boulette" ?,Diam's,1
Quel instrument joue Carlos Santana ?,Guitare,1
Qui chante "No Woman, No Cry" ?,Bob Marley,1
Quel groupe chante "Creep" ?,Radiohead,2
Qui chante "Je ne suis pas un héros" ?,Daniel Balavoine,2
Quel est l'instrument de Lang Lang ?,Piano,3
Qui chante "Video Games" ?,Lana Del Rey,2
Quel groupe chante "Every Breath You Take" ?,The Police,2
Qui chante "Confessions Nocturnes" ?,Diam's (et Vitaa),2
Quel est le nom du chanteur de Coldplay ?,Chris Martin,2
Qui a composé "Carmen" ?,Bizet,3
Qui chante "Thriller" ?,Michael Jackson,1
Quel groupe chante "Africa" ?,Toto,2
Qui chante "Basique" ?,Orelsan,1
Quel est l'instrument de Yehudi Menuhin ?,Violon,5
Qui chante "Born to Run" ?,Bruce Springsteen,3
Quel groupe chante "One" ?,U2 (ou Metallica),3
Qui chante "Caroline" ?,MC Solaar,2
Quel est le nom du chanteur de Radiohead ?,Thom Yorke,4
Qui chante "Crazy in Love" ?,Beyoncé,1
Quel groupe chante "September" ?,Earth Wind & Fire,2
Qui a composé "L'Hymne à la joie" ?,Beethoven,2
Qui chante "Ma philosophie" ?,Amel Bent,2
Quel instrument joue Flea (Red Hot Chili Peppers) ?,Basse,3
Qui chante "Rolling in the Deep" ?,Adele,1
Quel groupe chante "Losing My Religion" ?,R.E.M.,3
Qui chante "La Foule" ?,Edith Piaf,2
Quel rappeur a sorti l'album "L'École du micro d'argent" ?,IAM,2
Qui chante "Take Me to Church" ?,Hozier,2
Quel groupe chante "Stairway to Heaven" ?,Led Zeppelin,2
Qui a composé "Le Sacre du printemps" ?,Stravinsky,5
Qui chante "J'ai demandé à la lune" ?,Indochine,1
Quel est l'instrument de Slash ?,Guitare,1
Qui chante "Blinding Lights" ?,The Weeknd,1
Quel groupe chante "Where Is My Mind?" ?,Pixies,3
Qui chante "Respire" ?,Mickey 3D,3
Quel est le nom du chanteur de The Doors ?,Jim Morrison,3
Qui chante "Toxic" ?,Britney Spears,1
Quel groupe chante "The Sound of Silence" ?,Simon and Garfunkel,2
Qui a composé "La Marche Turque" ?,Mozart,3
Qui chante "Je marche seul" ?,Jean-Jacques Goldman,1
Quel instrument joue Elton Ray ?,Piano,1
Qui chante "Drivers License" ?,Olivia Rodrigo,2
Quel groupe chante "Don't Stop Me Now" ?,Queen,1
Qui chante "Amsterdam" ?,Jacques Brel,2
Quel rappeur a créé le label "92i" ?,Booba,3
