QUESTION,REPONSE,DIFFICULTE
Quel film met en scène un paquebot qui coule en 1912 ?,Titanic,1
Qui est le père de Luke Skywalker ?,Dark Vador,1
Quel agent secret porte le matricule 007 ?,James Bond,1
Dans quel film trouve-t-on un requin tueur géant ?,Les Dents de la mer,1
Quel est le prénom de l'ogre vert de DreamWorks ?,Shrek,1
Qui joue le rôle de Jack Sparrow dans Pirates des Caraïbes ?,Johnny Depp,1
Quel animal est Simba dans le Roi Lion ?,Un lion,1
Quelle couleur est associée à la pilule qui révèle la vérité dans Matrix ?,Rouge,2
Qui a réalisé le film "E.T. l'extra-terrestre" ?,Steven Spielberg,1
Quel acteur incarne Harry Potter ?,Daniel Radcliffe,1
Dans quelle ville se déroule l'action de "Ratatouille" ?,Paris,1
Quelle phrase culte est associée à Terminator ?,I'll be back (Je reviendrai),1
Quel film raconte l'histoire d'un boxeur nommé Rocky Balboa ?,Rocky,1
Qui joue le rôle principal dans "Forrest Gump" ?,Tom Hanks,1
Quel super-héros est un milliardaire habillé en chauve-souris ?,Batman,1
Dans quel film une fille sort-elle d'un puits et d'une télé ?,Le Cercle (The Ring),2
Qui a réalisé "Avatar" ?,James Cameron,2
Quel film d'animation met en scène des jouets vivants ?,Toy Story,1
Quel duo comique joue dans "La Grande Vadrouille" ?,Bourvil et de Funès,1
Quel film français a eu un énorme succès avec Omar Sy en 2011 ?,Intouchables,1
Quel est le nom du hobbit porteur de l'anneau dans le Seigneur des Anneaux ?,Frodon Sacquet,2
Dans quel film entend-on la réplique "On ne laisse pas Bébé dans un coin" ?,Dirty Dancing,2
Qui a réalisé "Pulp Fiction" ?,Quentin Tarantino,2
Quel est le métier d'Indiana Jones ?,Archéologue,1
Quel acteur français a un nez proéminent dans "Cyrano de Bergerac" (1990) ?,Gérard Depardieu,2
Dans quel film Dark Vador révèle-t-il son identité à Luke ?,L'Empire contre-attaque,2
Quel dinosaure est la star de "Jurassic Park" ?,T-Rex (Tyrannosaure),1
Qui a joué le Joker dans "The Dark Knight" (2008) ?,Heath Ledger,2
Quel film raconte l'histoire du fondateur de Facebook ?,The Social Network,2
Dans quel film voit-on une course de chars antique ?,Ben-Hur,2
Qui est l'actrice principale de "Pretty Woman" ?,Julia Roberts,1
Quel film a pour héros un petit robot compacteur de déchets ?,WALL-E,1
Qui a réalisé "Le Grand Bleu" ?,Luc Besson,2
Quel est le nom de la princesse dans "La Guerre des Étoiles" ?,Leia,1
Dans quel film entend-on "C'est une bonne situation ça scribe ?" ?,Astérix et Obélix : Mission Cléopâtre,2
Quel acteur joue Wolverine dans les films X-Men ?,Hugh Jackman,2
Quel film d'horreur se passe dans l'hôtel Overlook ?,Shining,2
Qui a réalisé "Les Temps modernes" ?,Charlie Chaplin,2
Quel film a remporté l'Oscar du meilleur film en 2020 (film coréen) ?,Parasite,3
Dans quel film trouve-t-on la planète Pandora ?,Avatar,1
Qui joue le rôle de Rose dans Titanic ?,Kate Winslet,1
Quel est le nom du lion dans "Madagascar" ?,Alex,2
Quel réalisateur est connu pour ses films macabres comme "Edward aux mains d'argent" ?,Tim Burton,2
Dans quel film Bill Murray revit-il sans cesse la même journée ?,Un jour sans fin,3
Quel est le vrai nom de Marilyn Monroe ?,Norma Jeane Baker,4
Qui a réalisé "Psychose" ?,Alfred Hitchcock,2
Quel film français se passe dans une épicerie de Montmartre ?,Le Fabuleux Destin d'Amélie Poulain,2
Quelle saga commence par "L'École des sorciers" ?,Harry Potter,1
Quel acteur joue Iron Man ?,Robert Downey Jr.,2
Dans quel film trouve-t-on le personnage de Gollum ?,Le Seigneur des Anneaux,1
Quel est le film le plus vu de l'histoire du cinéma français (entrées France) ?,Bienvenue chez les Ch'tis,2
Qui a réalisé "Inception" ?,Christopher Nolan,2
Quel est le nom du clown dans le film "Ça" ?,Grippe-Sou (Pennywise),2
Quelle actrice incarne Katniss Everdeen dans Hunger Games ?,Jennifer Lawrence,2
Dans quel film de 1999 voit-on des gens connectés à une matrice ?,Matrix,1
Qui a joué le premier James Bond au cinéma ?,Sean Connery,2
Quel film d'animation japonais raconte l'histoire de Chihiro ?,Le Voyage de Chihiro,2
Quel acteur incarne le "Parrain" (Vito Corleone) dans le premier film ?,Marlon Brando,3
Qui a réalisé "2001 : L'Odyssée de l'espace" ?,Stanley Kubrick,3
Quel est le nom du vaisseau de Han Solo ?,Faucon Millenium,3
Dans quel film Brad Pitt et Edward Norton créent-ils un club de combat ?,Fight Club,2
Quel est le prénom du personnage joué par Harrison Ford dans Star Wars ?,Han,1
Qui a réalisé "La La Land" ?,Damien Chazelle,4
Quel film raconte le débarquement allié en Normandie (Spielberg) ?,Il faut sauver le soldat Ryan,2
Quelle actrice a joué "La Môme" (Edith Piaf) ?,Marion Cotillard,2
Quel est le nom du méchant dans "Le Silence des Agneaux" ?,Hannibal Lecter,2
Dans quel film Tom Cruise est-il pilote de chasse ?,Top Gun,1
Qui a réalisé "Le Fabuleux Destin d'Amélie Poulain" ?,Jean-Pierre Jeunet,3
Quel film a pour réplique "Tu causes à moi ?" (Taxi Driver) ?,Taxi Driver,3
Quel est le premier long-métrage d'animation de Disney (1937) ?,Blanche-Neige et les Sept Nains,2
Qui joue le rôle de Neo dans Matrix ?,Keanu Reeves,2
Dans quel film une équipe de bobsleigh jamaïcaine va aux JO ?,Rasta Rockett,2
Quel réalisateur espagnol a fait "Tout sur ma mère" ?,Pedro Almodovar,4
Quel est le nom de la marionnette dans la saga "Saw" ?,Billy,4
Qui joue le rôle principal dans "Gladiator" ?,Russell Crowe,2
Quel film se déroule sur la planète Arrakis ?,Dune,2
Dans quel film trouve-t-on un DeLorean à voyager dans le temps ?,Retour vers le futur,1
Qui a réalisé "Les Oiseaux" ?,Alfred Hitchcock,2
Quel acteur joue dans "Mission Impossible" ?,Tom Cruise,1
Quelle est la couleur du sabre laser de Luke Skywalker dans "Le Retour du Jedi" ?,Vert,4
Dans quel film trouve-t-on les personnages de Vincent Vega et Jules Winnfield ?,Pulp Fiction,3
Qui est la voix originale de l'Âne dans Shrek (version US) ?,Eddie Murphy,3
Quel film a reçu 11 Oscars (comme Titanic et Ben-Hur) ?,Le Seigneur des Anneaux : Le Retour du Roi,4
Qui a réalisé "Apocalypse Now" ?,Francis Ford Coppola,3
Dans quel film entend-on la chanson "My Heart Will Go On" ?,Titanic,1
Quel est le nom de la ville de Batman ?,Gotham City,1
Qui joue le rôle de Black Widow dans les Avengers ?,Scarlett Johansson,2
Quel film français muet et en noir et blanc a gagné l'Oscar en 2012 ?,The Artist,3
Dans quel film trouve-t-on un ballon nommé Wilson ?,Seul au monde,2
Qui a réalisé "Le Voyage dans la Lune" (1902) ?,Georges Méliès,5
Quel acteur joue le rôle de "Léon" ?,Jean Reno,2
Dans quel film des raptors ouvrent-ils des portes ?,Jurassic Park,2
Quel est le nom du gendarme joué par Louis de Funès ?,Cruchot,3
Qui a réalisé "Interstellar" ?,Christopher Nolan,2
Quelle actrice joue Hermione Granger ?,Emma Watson,2
Quel film raconte l'histoire d'un pianiste juif polonais pendant la guerre ?,Le Pianiste,3
Dans quel film trouve-t-on le personnage de Tyler Durden ?,Fight Club,3
Qui a réalisé "La Haine" ?,Mathieu Kassovitz,3
Quel est le titre du premier Star Wars sorti en 1977 ?,Un nouvel espoir,3
Dans quel film voit-on la scène de la douche (couteau) ?,Psychose,2
Quel acteur incarne "Le Magnifique" ?,Jean-Paul Belmondo,3
Qui a réalisé "Grand Budapest Hotel" ?,Wes Anderson,4
Quel est le nom de l'ordinateur dans "2001 : L'Odyssée de l'espace" ?,HAL 9000,4
Dans quel film Robin Williams se déguise-t-il en femme de ménage ?,Madame Doubtfire,2
Qui joue le rôle de Spiderman dans la trilogie des années 2000 ?,Tobey Maguire,3
Quel film d'animation a pour héros un poisson clown ?,Le Monde de Nemo,1
Qui a réalisé "Le Parrain" ?,Francis Ford Coppola,3
Dans quel film trouve-t-on le "Bubba Gump Shrimp Company" ?,Forrest Gump,2
Quel est le vrai nom de l'acteur qui joue Charlot ?,Charlie Chaplin,1
Qui a réalisé "Kill Bill" ?,Quentin Tarantino,2
Quel film met en scène des émotions dans la tête d'une petite fille ?,Vice-Versa,2
Dans quel film trouve-t-on le personnage de Keyser Söze ?,Usual Suspects,4
Qui joue le rôle de Marty McFly ?,Michael J. Fox,2
Quel est le nom du capitaine du Titanic ?,Smith,4
Dans quel film entend-on "Vers l'infini et au-delà" ?,Toy Story,1
Qui a réalisé "Citizen Kane" ?,Orson Welles,4
Quel film français raconte la vie d'adolescents lors d'une boum ?,La Boum,2
Quel acteur joue le rôle de Thor ?,Chris Hemsworth,2
Dans quel film trouve-t-on le personnage de Travis Bickle ?,Taxi Driver,4
Qui a réalisé "Seven" ?,David Fincher,3
Quel est le nom du chat dans Alice au Pays des Merveilles ?,Le chat du Cheshire,3
Dans quel film voit-on la planète Tatooine ?,Star Wars,2
Qui joue le rôle de la mariée dans Kill Bill ?,Uma Thurman,3
Quel film a popularisé la chanson "I Will Always Love You" ?,Bodyguard,2
Quel réalisateur a fait "Les Dents de la Mer" ?,Steven Spielberg,1
Dans quel film trouve-t-on le personnage de Tony Montana ?,Scarface,2
Qui a réalisé "À bout de souffle" ?,Jean-Luc Godard,4
Quel film d'animation met en scène des voitures qui parlent ?,Cars,1
Quel acteur joue le rôle de Gandalf ?,Ian McKellen,3
Dans quel film trouve-t-on le personnage de Ellen Ripley ?,Alien,3
Qui a réalisé "Blade Runner" (1982) ?,Ridley Scott,3
Quel est le nom de la baby-sitter aux pouvoirs magiques ?,Mary Poppins,1
Dans quel film trouve-t-on la réplique "Tu ne passeras pas !" ?,Le Seigneur des Anneaux,2
Qui joue le rôle de Catwoman dans "Batman : Le Défi" (1992) ?,Michelle Pfeiffer,4
Quel film a révélé Sophie Marceau ?,La Boum,2
Qui a réalisé "La Liste de Schindler" ?,Steven Spielberg,2
Dans quel film trouve-t-on le personnage de Norman Bates ?,Psychose,3
Quel est le nom du héros de "Avatar" (l'humain) ?,Jake Sully,4
Qui a réalisé "Orange Mécanique" ?,Stanley Kubrick,4
Quel acteur a refusé le rôle de Neo dans Matrix ?,Will Smith,5
