QUESTION,REPONSE,DIFFICULTE
En quelle année a eu lieu la prise de la Bastille ?,1789,1
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,1
Quel empereur français est mort à Sainte-Hélène ?,Napoléon Ier,1
Quelle guerre a duré de 1914 à 1918 ?,Première Guerre mondiale,1
Qui a peint la Joconde ?,Léonard de Vinci,1
Quel roi de France était surnommé le Roi-Soleil ?,Louis XIV,1
En quelle année l'homme a-t-il marché sur la Lune ?,1969,1
Quelle ville a été détruite par une bombe atomique en 1945 ?,Hiroshima,1
Qui est le premier président de la Ve République française ?,Charles de Gaulle,2
Quel mur est tombé en 1989 ?,Mur de Berlin,1
Quelle reine d'Égypte a eu une liaison avec Jules César ?,Cléopâtre,1
En quelle année a débuté la Seconde Guerre mondiale ?,1939,1
Qui a inventé l'imprimerie en Europe ?,Gutenberg,2
Quel pays a offert la Statue de la Liberté aux États-Unis ?,France,2
Quel roi de France a été guillotiné en 1793 ?,Louis XVI,2
Quelle civilisation a construit les pyramides de Gizeh ?,Égyptiens,1
Qui était le chef des Gaulois vaincu à Alésia ?,Vercingétorix,1
En quelle année a eu lieu la bataille de Marignan ?,1515,1
Quel président américain a aboli l'esclavage ?,Abraham Lincoln,2
Quelle pucelle a délivré Orléans en 1429 ?,Jeanne d'Arc,1
Qui a écrit le "Journal" racontant sa vie cachée pendant la Shoah ?,Anne Frank,1
Quel empire a régné sur la Méditerranée durant l'Antiquité ?,Empire Romain,1
En quelle année la Déclaration des droits de l'homme a-t-elle été votée en France ?,1789,2
Quel navigateur a fait le premier tour du monde (terminé par son équipage) ?,Magellan,2
Qui était le dieu des dieux dans la mythologie grecque ?,Zeus,1
Quelle guerre a opposé le Nord et le Sud des États-Unis ?,Guerre de Sécession,2
Qui a prononcé "I have a dream" ?,Martin Luther King,1
Quel dictateur a dirigé l'Allemagne nazie ?,Adolf Hitler,1
En quelle année l'URSS a-t-elle été dissoute ?,1991,3
Quel monument parisien a été construit pour l'Exposition universelle de 1889 ?,Tour Eiffel,1
Qui a fondé l'Empire mongol ?,Gengis Khan,3
Quelle maladie a tué un tiers de la population européenne au 14e siècle ?,Peste noire,2
Quel roi des Francs s'est fait baptiser à Reims ?,Clovis,3
Qui a été le premier empereur romain ?,Auguste,3
En quelle année a eu lieu le débarquement en Normandie ?,1944,2
Quelle reine d'Angleterre a régné pendant 63 ans au 19e siècle ?,Victoria,2
Qui a découvert le vaccin contre la rage ?,Louis Pasteur,2
Quel pays a été dirigé par Nelson Mandela ?,Afrique du Sud,1
Quelle ville était la capitale de l'Empire romain d'Orient ?,Constantinople,3
Qui a écrit "Le Manifeste du parti communiste" ?,Karl Marx,3
En quelle année Christophe Colomb a-t-il découvert l'Amérique ?,1492,1
Quel conflit a opposé les USA et l'URSS sans affrontement direct ?,Guerre froide,2
Qui a succédé à Jules César (adoptif) ?,Auguste,4
Quel roi d'Angleterre a eu six femmes ?,Henri VIII,3
En quelle année a été signée l'Armistice de la Première Guerre mondiale ?,1918,1
Qui était le chef de l'URSS pendant la Seconde Guerre mondiale ?,Staline,2
Quel peuple a inventé la démocratie ?,Grecs,2
Qui a été assassiné à Dallas en 1963 ?,John F. Kennedy,2
Quelle civilisation vivait au Pérou avant l'arrivée des Espagnols ?,Incas,2
En quelle année a eu lieu la Révolution russe ?,1917,3
Qui a commandé l'armée carthaginoise et traversé les Alpes avec des éléphants ?,Hannibal,3
Quel traité a mis fin à la Première Guerre mondiale ?,Traité de Versailles,3
Qui a été la première femme à voler seule au-dessus de l'Atlantique ?,Amelia Earhart,4
Quel roi de France est mort lors d'un tournoi à cause d'une lance dans l'œil ?,Henri II,4
En quelle année l'Algérie est-elle devenue indépendante ?,1962,3
Qui a sculpté le David et peint la Chapelle Sixtine ?,Michel-Ange,2
Quel événement marque le début du Moyen Âge ?,Chute de Rome,3
Qui a fondé la ville de Rome selon la légende ?,Romulus,2
En quelle année Napoléon a-t-il été sacré empereur ?,1804,2
Quel pays a été le premier à envoyer un homme dans l'espace ?,URSS,2
Qui est le père fondateur de la Turquie moderne ?,Atatürk (Mustafa Kemal),4
Quelle guerre a opposé la France et l'Angleterre pendant plus de 100 ans ?,Guerre de Cent Ans,2
En quelle année a eu lieu la chute du Mur de Berlin ?,1989,1
Qui a inventé le téléphone ?,Graham Bell,2
Quel président américain a démissionné suite au scandale du Watergate ?,Richard Nixon,3
Quelle reine de France a été guillotinée avec Louis XVI ?,Marie-Antoinette,2
