QUESTION,REPONSE,DIFFICULTE
Quel est l'ingrédient principal d'une omelette ?,Oeuf,1
De quel pays vient la pizza ?,Italie,1
Quel fruit est la base du guacamole ?,Avocat,1
Quel est le plat national de la Belgique (souvent associé aux frites) ?,Moules,1
Quelle céréale est la base du risotto ?,Riz,1
Quel ingrédient fait pleurer quand on le coupe ?,Oignon,1
Quelle boisson obtient-on en pressant des raisins ?,Jus de raisin (ou Vin),1
Quel est l'ingrédient principal du chocolat ?,Cacao,1
Quel animal donne le jambon ?,Cochon (Porc),1
De quelle couleur est un citron vert ?,Vert,1
Quel pays est célèbre pour ses sushis ?,Japon,1
Quel est le plat principal de Thanksgiving aux USA ?,Dinde,1
Quel ingrédient est indispensable pour faire du pain ?,Farine,1
Quelle est la saveur du citron ?,Acide,1
Quel est l'ingrédient principal de la purée ?,Pomme de terre,1
Dans quel pays mange-t-on traditionnellement avec des baguettes ?,Chine (ou Japon/Corée),1
Quel est le nom du pain indien plat et rond ?,Naan,2
Quel fromage est utilisé dans la tartiflette ?,Reblochon,2
Quelle ville française est connue pour sa moutarde ?,Dijon,2
Quel est l'ingrédient principal du Hummus ?,Pois chiche,2
Quelle pâte est utilisée pour faire des éclairs ou des chouquettes ?,Pâte à choux,3
De quelle région française vient la choucroute ?,Alsace,2
Quel poisson est utilisé pour le Fish and Chips ?,Cabillaud (ou Eglefin),3
Quelle épice est la plus chère du monde ?,Safran,3
Quel est le cocktail à base de rhum, menthe et citron vert ?,Mojito,2
Quel fromage italien utilise-t-on pour le Tiramisu ?,Mascarpone,2
Quelle est la spécialité culinaire de la ville de Marseille ?,Bouillabaisse,3
Quel est le nom du champignon noir très cher recherché par les cochons ou chiens ?,Truffe,2
De quel pays est originaire la Paella ?,Espagne,2
Quelle plante aromatique est la base du Pesto ?,Basilic,2
Quel est l'ingrédient principal du Tofu ?,Soja,2
Quelle pâtisserie est composée de mille feuilles de pâte ?,Mille-feuille,2
Dans quel pays a été inventé le Croissant (origine historique) ?,Autriche,4
Quel est le nom du bœuf cru coupé très fin ?,Carpaccio,2
Quelle est la sauce blanche à base de beurre, farine et lait ?,Béchamel,2
Quel fruit est appelé "Pamplemousse" en France (alors que c'est un Pomelo) ?,Pomelo,3
Quelle ville française est la capitale du Cassoulet ?,Castelnaudary (ou Toulouse/Carcassonne),3
Quel alcool est utilisé dans la fondue savoyarde ?,Vin blanc,2
Quel est le nom des œufs de poisson de l'esturgeon (produit de luxe) ?,Caviar,2
Quelle vitamine trouve-t-on principalement dans les oranges ?,Vitamine C,1
De quel pays vient le Ceviche (poisson cru mariné) ?,Pérou,4
Quel est le nom du régime sans viande ni poisson ?,Végétarien,1
Quelle noix est l'ingrédient principal du Nutella ?,Noisette,1
Quelle est la particularité de la Tarte Tatin ?,Elle est renversée,2
Quel est le nom de la technique pour couper des légumes en tout petits dés ?,Brunoise,4
