QUESTION,REPONSE,DIFFICULTE
Quelle est la couleur de la casquette de Mario ?,Rouge,1
Quel est le nom du frère de Mario ?,Luigi,1
Quel animal est Sonic ?,Un hérisson,1
Dans quel jeu doit-on attraper des monstres dans des boules ?,Pokémon,1
Quel est le jeu le plus vendu de tous les temps (blocs) ?,Minecraft,1
Quel est le prénom de la princesse que Link doit sauver ?,Zelda,1
Quelle entreprise a créé la PlayStation ?,Sony,1
Dans quel jeu trouve-t-on des pièces en forme de T, L, ou carré qui tombent ?,Tetris,1
Quel est le nom du plombier moustachu de Nintendo ?,Mario,1
Quel jeu de Battle Royale a popularisé les danses comme le "Floss" ?,Fortnite,1
Quel est le nom de la petite créature jaune électrique dans Pokémon ?,Pikachu,1
Dans quel jeu mange-t-on des pac-gommes en fuyant des fantômes ?,Pac-Man,1
Quelle est la profession de Lara Croft ?,Archéologue,1
Quel personnage est une boule rose qui aspire ses ennemis ?,Kirby,1
Quel jeu de simulation de vie permet de gérer une famille et sa maison ?,Les Sims,1
Quel est le nom du gorille qui lance des tonneaux ?,Donkey Kong,1
Quelle console a popularisé la manette à détection de mouvement (Wiimote) ?,Wii,1
Dans quel jeu de foot conduit-on des voitures ?,Rocket League,1
Quel est le nom du héros de "The Legend of Zelda" ?,Link,1
Quelle entreprise a créé la Xbox ?,Microsoft,1
Quel jeu de tir se déroule pendant la Seconde Guerre mondiale (ou moderne) ?,Call of Duty,1
Quel est le jeu de cartes virtuel de l'univers Warcraft ?,Hearthstone,2
Quel est le nom du champignon serviteur de la princesse Peach ?,Toad,1
Dans quel jeu incarne-t-on un tueur à gages chauve avec un code barre ?,Hitman,2
Quel est le nom du héros de la saga "Halo" ?,Master Chief,2
Quel jeu mobile demande de couper des fruits avec le doigt ?,Fruit Ninja,1
Quel est le nom du dragon violet ami de Spyro ?,Spyro,1
Dans quel jeu doit-on déduire qui est l'imposteur dans un vaisseau ?,Among Us,1
Quelle console portable de Nintendo avait deux écrans ?,Nintendo DS,1
Quel est le nom du royaume où se déroule Mario ?,Royaume Champignon,1
Dans quel jeu incarne-t-on Kratos, le dieu de la guerre ?,God of War,1
Quel est le nom du hérisson noir, rival de Sonic ?,Shadow,2
Quel studio a créé GTA et Red Dead Redemption ?,Rockstar Games,2
Dans quel jeu de combat entend-on "Hadouken" ?,Street Fighter,2
Quel est le prénom du personnage principal de "Uncharted" ?,Nathan (Drake),2
Quel est le nom de la princesse dans Super Mario ?,Peach,1
Quel jeu de stratégie oppose les Terrans, les Zergs et les Protoss ?,StarCraft,3
Quelle est la couleur de la tunique classique de Link ?,Vert,1
Quel jeu indépendant met en scène un squelette nommé Sans ?,Undertale,2
Quel est le nom de la ville dans GTA V ?,Los Santos,2
Dans quel jeu doit-on construire une ville et gérer ses habitants (maire) ?,SimCity,2
Quel est le nom de l'héroïne de Metroid (sous l'armure) ?,Samus Aran,2
Quelle est la console la plus vendue de l'histoire (Sony) ?,PlayStation 2,2
Quel fruit donne des vies ou de la force à Crash Bandicoot ?,Wumpa,3
