QUESTION,REPONSE,DIFFICULTE
Qui a peint la Joconde ?,Léonard de Vinci,1
Quel peintre néerlandais s'est coupé l'oreille ?,Vincent Van Gogh,1
Dans quel musée se trouve la Joconde ?,Louvre,1
Qui a peint "La Nuit étoilée" ?,Vincent Van Gogh,1
Quel artiste est célèbre pour ses montres molles ?,Salvador Dali,1
Qui a peint le plafond de la Chapelle Sixtine ?,Michel-Ange,1
Quel mouvement artistique est associé à Claude Monet ?,Impressionnisme,2
Qui a peint "Guernica" ?,Pablo Picasso,1
Quelle est la sculpture la plus célèbre d'Auguste Rodin ?,Le Penseur,1
Qui a peint les boîtes de soupe Campbell ?,Andy Warhol,1
Quel artiste de street art garde son identité secrète ?,Banksy,1
Quelle statue antique n'a pas de bras ?,Vénus de Milo,1
Qui a peint "La Cène" (Le dernier repas de Jésus) ?,Léonard de Vinci,2
Quel peintre mexicain est célèbre pour ses autoportraits et ses monosourcils ?,Frida Kahlo,1
Quelle ville abrite le musée du Prado ?,Madrid,2
Qui a sculpté le David (marbre blanc de 5 mètres) ?,Michel-Ange,2
Quel mouvement artistique utilise des formes géométriques déconstruites ?,Cubisme,2
Qui a peint "Le Cri" ?,Edvard Munch,1
Quelle est la couleur obtenue en mélangeant du bleu et du jaune ?,Vert,1
Quel peintre espagnol est un maître du Surréalisme ?,Salvador Dali,2
Qui a peint "La Jeune Fille à la perle" ?,Johannes Vermeer,2
Quel artiste est connu pour ses danseuses de ballet (peinture et sculpture) ?,Edgar Degas,2
Dans quelle ville se trouve le musée Guggenheim à l'architecture ondulée ?,Bilbao,3
Qui a peint "Les Nymphéas" ?,Claude Monet,2
Quel peintre français est célèbre pour ses affiches du Moulin Rouge ?,Toulouse-Lautrec,2
Quelle est la couleur complémentaire du rouge ?,Vert,3
Qui a peint "La Liberté guidant le peuple" ?,Eugène Delacroix,2
Quel est le prénom de Picasso ?,Pablo,1
Dans quel pays est né le mouvement Renaissance ?,Italie,1
Qui a peint "La Naissance de Vénus" (sortant d'un coquillage) ?,Sandro Botticelli,2
Quel artiste contemporain est connu pour ses "Ballon Dogs" (chiens ballons) ?,Jeff Koons,3
Quelle technique de peinture utilise de l'œuf comme liant ?,Tempera,4
Qui a peint "Le Radeau de la Méduse" ?,Théodore Géricault,2
Quel peintre américain est célèbre pour ses projections de peinture (Drip painting) ?,Jackson Pollock,3
Qui a sculpté "Le Baiser" (sculpture en marbre) ?,Auguste Rodin,2
Quel peintre a réalisé le tableau "Le Baiser" (doré) ?,Gustav Klimt,2
Quelle est la nationalité de Magritte ?,Belge,2
Qui a peint "Les Ménines" ?,Diego Vélasquez,3
Quel peintre est connu pour ses portraits constitués de fruits et légumes ?,Arcimboldo,2
Dans quel musée new-yorkais trouve-t-on beaucoup d'art moderne ?,MoMA,2
Qui a peint "La Ronde de nuit" ?,Rembrandt,3
Quel artiste a emballé le Pont-Neuf à Paris ?,Christo,3
Quelle est la particularité des sculptures de Giacometti ?,Elles sont filiformes (très fines),2
Qui a peint "American Gothic" (couple avec une fourche) ?,Grant Wood,3
Quel peintre français a vécu à Tahiti ?,Paul Gauguin,2
