QUESTION,REPONSE,DIFFICULTE
Quel pays a remporté la Coupe du Monde de football en 1998 ?,France,1
Quel est le sport de Michael Jordan ?,Basket-ball,1
Quelle est la couleur du maillot du leader du Tour de France ?,Jaune,1
Combien de joueurs y a-t-il dans une équipe de football sur le terrain ?,11,1
Quel joueur de tennis est surnommé le "Roi de la terre battue" ?,Rafael Nadal,1
Quel est le sport de Tiger Woods ?,Golf,1
Quel objet s'échangent les coureurs lors d'un relais ?,Témoin,1
Dans quel sport utilise-t-on un volant ?,Badminton,1
Quel pays est célèbre pour son équipe de rugby, les All Blacks ?,Nouvelle-Zélande,1
Quel est le sport de Usain Bolt ?,Athlétisme (Sprint),1
Combien y a-t-il d'anneaux sur le drapeau olympique ?,5,1
Quel est le sport de Teddy Riner ?,Judo,1
Quel pilote de F1 a remporté 7 titres (comme Hamilton) ?,Michael Schumacher,1
Quelle ville a accueilli les Jeux Olympiques de 2024 ?,Paris,1
Quel est le surnom de l'équipe de France de football ?,Les Bleus,1
Quel est le sport de Tony Parker ?,Basket-ball,1
Sur quelle surface se joue le tournoi de Wimbledon ?,Gazon,2
Combien de temps dure un match de football (hors arrêts de jeu) ?,90 minutes,1
Quel est le sport de Sébastien Loeb ?,Rallye (WRC),1
Dans quel sport marque-t-on un "Essai" ?,Rugby,1
Quel joueur argentin a marqué un but de la main ("La main de Dieu") ?,Diego Maradona,1
Quel est le sport de Roger Federer ?,Tennis,1
Combien de trous y a-t-il sur un parcours de golf standard ?,18,1
Quel est le sport de Muhammad Ali ?,Boxe,1
Quel pays a remporté le plus de Coupes du Monde de football ?,Brésil,2
Quel est le nom du trophée de la Ligne Nationale de Hockey (NHL) ?,Coupe Stanley,3
Dans quel sport utilise-t-on le terme "Ace" ?,Tennis,2
Quel est le sport de Lewis Hamilton ?,Formule 1,1
Combien de points vaut un panier marqué au-delà de la ligne en NBA ?,3 points,1
Quel est le sport de Laure Manaudou ?,Natation,1
Quel événement sportif américain a lieu chaque année en février (finale NFL) ?,Super Bowl,2
Quel est le surnom de Zinédine Zidane ?,Zizou,1
Dans quel sport utilise-t-on une épée, un fleuret ou un sabre ?,Escrime,2
Quel est le sport de LeBron James ?,Basket-ball,1
Quelle équipe de football joue au Parc des Princes ?,Paris Saint-Germain (PSG),1
Quel cycliste a été déchu de ses 7 Tours de France pour dopage ?,Lance Armstrong,1
Quel est le sport de Martin Fourcade ?,Biathlon,2
Combien de joueurs y a-t-il dans une équipe de rugby à XV ?,15,2
Quel est le sport de Serena Williams ?,Tennis,1
Quelle est la distance d'un marathon ?,42,195 km,2
Dans quel sport tire-t-on à l'arc ?,Tir à l'arc,1
Quel est le sport de Valentino Rossi ?,Moto (MotoGP),2
Quel pays a inventé le Judo ?,Japon,1
Quel est le sport de Novak Djokovic ?,Tennis,1
Dans quel sport peut-on faire un "Strike" ?,Bowling,1
Quel est le nom du ballon au rugby ?,Ovale,1
Quel est le sport de Cristiano Ronaldo ?,Football,1
Quelle course cycliste est surnommée "L'Enfer du Nord" ?,Paris-Roubaix,3
Quel est le sport de Conor McGregor ?,MMA (Arts martiaux mixtes),2
Dans quel sport utilise-t-on de la magnésie pour les mains ?,Gymnastique (ou Escalade),2
Quel est le sport de Kylian Mbappé ?,Football,1
Combien de carreaux noirs et blancs y a-t-il sur un drapeau de course auto ?,Damier,1
Quel est le sport de Carl Lewis ?,Athlétisme,2
Quelle ville a organisé les JO de 2012 ?,Londres,2
Quel est le sport de Michael Phelps ?,Natation,1
Combien de quilles y a-t-il au bowling ?,10,1
Quel est le sport de Ayrton Senna ?,Formule 1,2
Dans quel sport utilise-t-on un "Puck" (palet) ?,Hockey sur glace,2
Quel est le stade de l'équipe de France de football et rugby ?,Stade de France,1
Quel est le sport de Jo-Wilfried Tsonga ?,Tennis,1
Quelle danse font les All Blacks avant un match ?,Haka,1
Quel est le sport de Zinédine Zidane ?,Football,1
Combien de sets faut-il gagner pour remporter un match de Grand Chelem (Hommes) ?,3,2
Quel est le sport de Alain Prost ?,Formule 1,2
Dans quel sport y a-t-il des ceintures de couleur (blanche à noire) ?,Judo (ou Karaté),1
Quel est le sport de Kobe Bryant ?,Basket-ball,1
Quelle est la couleur de la terre battue ?,Ocre (ou Rouge/Orange),1
Quel est le sport de Antoine Griezmann ?,Football,1
Combien de joueurs y a-t-il dans une équipe de handball sur le terrain ?,7,2
Quel est le sport de Eddy Merckx ?,Cyclisme,2
Dans quel sport utilise-t-on un "Caddie" ?,Golf,2
Quel est le sport de Andre Agassi ?,Tennis,2
Quelle course automobile dure 24 heures ?,24 Heures du Mans,1
Quel est le sport de Lionel Messi ?,Football,1
Combien de temps dure un match de rugby (hors arrêts) ?,80 minutes,2
Quel est le sport de Mike Tyson ?,Boxe,1
Dans quel sport utilise-t-on une batte ?,Baseball (ou Cricket),1
Quel est le sport de Yannick Noah ?,Tennis,1
Quelle est la couleur du maillot du meilleur grimpeur du Tour de France ?,À pois rouges,2
Quel est le sport de Pelé ?,Football,1
Combien de périodes y a-t-il dans un match de hockey sur glace ?,3,3
Quel est le sport de Jonny Wilkinson ?,Rugby,2
Dans quel sport pratique-t-on la brasse ?,Natation,1
Quel est le sport de Shaquille O'Neal ?,Basket-ball,2
Quelle équipe de football est surnommée les "Red Devils" ?,Manchester United,2
Quel est le sport de Renaud Lavillenie ?,Saut à la perche,2
Combien de joueurs y a-t-il dans une équipe de volley-ball ?,6,2
Quel est le sport de Steffi Graf ?,Tennis,2
Dans quel sport utilise-t-on un "shuttlecock" (volant) ?,Badminton,3
Quel est le sport de Floyd Mayweather ?,Boxe,2
Quelle est la hauteur d'un panier de basket ?,3,05 mètres,4
Quel est le sport de Bernard Hinault ?,Cyclisme,2
Dans quel sport utilise-t-on une "mêlée" ?,Rugby,1
Quel est le sport de Nadia Comaneci ?,Gymnastique,3
Quelle nation domine traditionnellement le tennis de table ?,Chine,2
Quel est le sport de Ronaldo (le Brésilien) ?,Football,1
Combien de médailles d'or Michael Phelps a-t-il gagnées en une seule olympiade (2008) ?,8,4
Quel est le sport de Lindsey Vonn ?,Ski alpin,3
Dans quel sport utilise-t-on le terme "Albatros" ?,Golf,4
Quel est le sport de Tom Brady ?,Football Américain,2
Quelle est la longueur d'une piscine olympique ?,50 mètres,2
Quel est le sport de Marie-José Pérec ?,Athlétisme,2
Combien de joueurs composent une équipe de basket sur le terrain ?,5,1
Quel est le sport de Max Verstappen ?,Formule 1,1
Dans quel sport utilise-t-on un "bouclier de Brennus" ?,Rugby (Top 14),3
Quel est le sport de Björn Borg ?,Tennis,2
Quelle ville a organisé les JO de 2008 ?,Pékin,2
Quel est le sport de David Beckham ?,Football,1
Combien de points vaut un essai transformé au rugby ?,7,3
Quel est le sport de Michel Platini ?,Football,1
Dans quel sport y a-t-il un "Quarterback" ?,Football Américain,2
Quel est le sport de Alberto Contador ?,Cyclisme,3
Quelle est la seule épreuve de tennis du Grand Chelem sur terre battue ?,Roland-Garros,1
Quel est le sport de Earvin "Magic" Johnson ?,Basket-ball,2
Combien de kilomètres fait un semi-marathon ?,21,1 km,2
Quel est le sport de Clarisse Agbégnénou ?,Judo,2
Dans quel sport utilise-t-on des "pointes" aux chaussures ?,Athlétisme,2
Quel est le sport de Zlatan Ibrahimovic ?,Football,1
Quelle équipe de NBA a pour logo un taureau rouge ?,Chicago Bulls,2
Quel est le sport de Chris Froome ?,Cyclisme,3
Combien de fois le Brésil a-t-il gagné la Coupe du Monde de foot ?,5,3
Quel est le sport de Kevin Mayer ?,Décathlon (Athlétisme),3
Dans quel sport utilise-t-on un "putter" ?,Golf,2
Quel est le sport de Pete Sampras ?,Tennis,2
Quelle est la couleur du maillot du meilleur sprinteur du Tour de France ?,Vert,2
Quel est le sport de Hicham El Guerrouj ?,Athlétisme (Demi-fond),4
Combien de tours de piste font 10 000 mètres (piste standard de 400m) ?,25,4
Quel est le sport de Sébastien Ogier ?,Rallye,3
Dans quel sport utilise-t-on un "javelot" ?,Athlétisme,1
Quel est le sport de Antoine Dupont ?,Rugby,2
Quelle est la nationalité de Lionel Messi ?,Argentine,1
Quel est le sport de Stephen Curry ?,Basket-ball,2
Combien de temps dure une prolongation au football (total) ?,30 minutes,2
Quel est le sport de Jean-Claude Killy ?,Ski alpin,3
Dans quel sport utilise-t-on le terme "Ippon" ?,Judo,2
Quel est le sport de Jesse Owens ?,Athlétisme,3
Quelle ville a organisé les JO d'hiver de 1992 (en France) ?,Albertville,3
Quel est le sport de Nikola Karabatic ?,Handball,2
Combien de joueurs y a-t-il dans une équipe de water-polo ?,7,4
Quel est le sport de Tadej Pogacar ?,Cyclisme,3
Dans quel sport utilise-t-on une "bombe" (casque) ?,Équitation,2
Quel est le sport de Karim Benzema ?,Football,1
Quelle est la distance d'un sprint court standard ?,100 mètres,1
Quel est le sport de Alexander Zverev ?,Tennis,3
Combien de Coupes du Monde l'équipe de France de foot a-t-elle gagnées ?,2,1
Quel est le sport de Jason Lamy-Chappuis ?,Combiné nordique,5
Dans quel sport utilise-t-on le terme "Offside" (Hors-jeu) ?,Football/Rugby,2
Quel est le sport de Simone Biles ?,Gymnastique,2
Quelle course de F1 se déroule dans les rues de la ville ?,Monaco,2
Quel est le sport de Dan Carter ?,Rugby,3
Combien de haies y a-t-il dans un 110 mètres haies ?,10,4
Quel est le sport de Thierry Henry ?,Football,1
Dans quel sport utilise-t-on un "masque" et un "tuba" (en compétition) ?,Nage avec palmes (ou Hockey subaquatique),4
Quel est le sport de Victor Wembanyama ?,Basket-ball,2
Quelle est la plus vieille compétition de tennis au monde ?,Wimbledon,3
Quel est le sport de Florent Manaudou ?,Natation,2
Combien de points vaut un drop au rugby ?,3,3
Quel est le sport de Alain Bernard ?,Natation,3
Dans quel sport utilise-t-on un "stick" ?,Hockey sur gazon,3
Quel est le sport de Didier Deschamps ?,Football,1
Quelle équipe de rugby fait le "Cibi" (équivalent du Haka) ?,Fidji,5
Quel est le sport de Romain Bardet ?,Cyclisme,3
Combien de joueurs y a-t-il dans une équipe de Cricket ?,11,5
Quel est le sport de Amélie Mauresmo ?,Tennis,2
Dans quel sport utilise-t-on des "crampons" ?,Football/Rugby,1
Quel est le sport de Richard Virenque ?,Cyclisme,2
