QUESTION,REPONSE,DIFFICULTE
Qui a écrit "Les Misérables" ?,Victor Hugo,1
Quel est le prénom du jeune sorcier créé par J.K. Rowling ?,Harry,1
Dans quelle ville se déroule l'histoire de "Roméo et Juliette" ?,Vérone,2
Qui est l'auteur des "Fables" mettant en scène des animaux ?,Jean de La Fontaine,1
Quel célèbre détective a été créé par Arthur Conan Doyle ?,Sherlock Holmes,1
Qui a écrit "Vingt mille lieues sous les mers" ?,Jules Verne,1
Quel est le nom du capitaine dans "Moby Dick" ?,Achab,3
Qui est l'auteur de "L'Étranger" ?,Albert Camus,2
Quel dramaturge anglais a écrit "Hamlet" ?,William Shakespeare,1
Dans quel roman trouve-t-on le personnage de D'Artagnan ?,Les Trois Mousquetaires,1
Qui a écrit "Le Petit Prince" ?,Antoine de Saint-Exupéry,1
Quel auteur a écrit "1984" ?,George Orwell,2
Quel est le nom de l'héroïne de "Notre-Dame de Paris" ?,Esmeralda,2
Qui a écrit "Madame Bovary" ?,Gustave Flaubert,2
Quel prix littéraire français est le plus prestigieux ?,Prix Goncourt,2
Qui est l'auteur de la saga "Le Seigneur des Anneaux" ?,J.R.R. Tolkien,2
Quel poète a écrit le recueil "Les Fleurs du mal" ?,Charles Baudelaire,2
Dans quel pays se déroule l'action de "Guerre et Paix" ?,Russie,3
Qui a écrit "Orgueil et Préjugés" ?,Jane Austen,3
Quel est le vrai nom de Molière ?,Jean-Baptiste Poquelin,3
Qui a écrit la pièce "Cyrano de Bergerac" ?,Edmond Rostand,2
Quel auteur américain a écrit "Shining" et "Ça" ?,Stephen King,1
Quel personnage de fiction vit au 221B Baker Street ?,Sherlock Holmes,2
Qui est l'auteur de "La Peste" ?,Albert Camus,3
Quel célèbre aventurier a été créé par Hergé ?,Tintin,1
Qui a écrit "Germinal" ?,Émile Zola,2
Quel livre sacré commence par la Genèse ?,La Bible,1
Quel auteur a écrit "À la recherche du temps perdu" ?,Marcel Proust,3
Quelle friandise est associée à la mémoire chez Proust ?,Madeleine,2
Qui a écrit "Les Liaisons dangereuses" ?,Choderlos de Laclos,4
Quel écrivain a refusé le prix Nobel de littérature en 1964 ?,Jean-Paul Sartre,4
Qui est l'auteur de "Frankenstein" ?,Mary Shelley,3
Dans quelle saga suit-on les familles Stark et Lannister ?,Game of Thrones (Le Trône de fer),2
Qui a écrit "Le Comte de Monte-Cristo" ?,Alexandre Dumas,2
Quel est le titre du premier tome d'Harry Potter ?,Harry Potter à l'école des sorciers,1
Qui a écrit "Candide" ?,Voltaire,2
Quelle est la nationalité de Franz Kafka ?,Tchèque (ou austro-hongroise),4
Qui est l'auteur de "L'Odyssée" ?,Homère,2
Quel auteur a écrit "Voyage au bout de la nuit" ?,Louis-Ferdinand Céline,4
Dans quel roman trouve-t-on le personnage de Jean Valjean ?,Les Misérables,1
Qui a écrit "Bel-Ami" ?,Guy de Maupassant,3
Quel est le nom du renard dans "Le Petit Prince" ?,Il n'a pas de nom (Le Renard),3
Qui a écrit "Le Rouge et le Noir" ?,Stendhal,3
Quelle célèbre diariste a vécu cachée à Amsterdam ?,Anne Frank,1
Qui est l'auteur de "Crime et Châtiment" ?,Fiodor Dostoïevski,4
Dans quel conte une citrouille se transforme-t-elle en carrosse ?,Cendrillon,1
Qui a écrit "Le Malade imaginaire" ?,Molière,1
Quel auteur a créé le personnage d'Arsène Lupin ?,Maurice Leblanc,3
Quelle est la devise des Trois Mousquetaires ?,Un pour tous tous pour un,1
