QUESTION,REPONSE,DIFFICULTE
Quelle monnaie fiduciaire est entrée en circulation en France en 2002 ?,L'Euro,1
Quel événement tragique a eu lieu le 11 septembre 2001 ?,Attentats du World Trade Center,1
Quel site de partage de vidéos a été créé en 2005 ?,YouTube,1
Qui a été élu président des États-Unis en 2008 ?,Barack Obama,1
Quel téléphone d'Apple a révolutionné la téléphonie en 2007 ?,iPhone,1
Quelle émission de télé-réalité française a enfermé des candidats dans un loft en 2001 ?,Loft Story,1
Qui a donné un coup de tête en finale de la Coupe du Monde 2006 ?,Zinédine Zidane,1
Quel réseau social a été fondé par Mark Zuckerberg en 2004 ?,Facebook,1
Quelle saga de films fantastiques a débuté au cinéma en 2001 (sorciers) ?,Harry Potter,1
Quel film de James Cameron est sorti en 2009 et a battu des records ?,Avatar,1
Quelle chanteuse a sorti le tube "Toxic" en 2003 ?,Britney Spears,1
Quelle console de jeu Sony est sortie en 2000 et reste la plus vendue de l'histoire ?,PlayStation 2,1
Quel moteur de recherche est devenu hégémonique dans les années 2000 ?,Google,1
Qui a gagné la première saison de la Star Academy en France ?,Jenifer,1
Quel groupe de rock a chanté "Boulevard of Broken Dreams" en 2004 ?,Green Day,2
Quel pape est décédé en 2005 ?,Jean-Paul II,1
Quel pays a organisé les Jeux Olympiques en 2008 ?,Chine (Pékin),1
Quelle catastrophe naturelle a frappé l'Asie du Sud-Est en décembre 2004 ?,Tsunami,1
Quel film d'animation met en scène un ogre vert en 2001 ?,Shrek,1
Quelle chanteuse est décédée tragiquement en 2001 (R&B) ?,Aaliyah,3
Qui a chanté "Single Ladies" en 2008 ?,Beyoncé,1
Quel pilote de F1 a dominé le début des années 2000 avec Ferrari ?,Michael Schumacher,1
Quel jeu vidéo de simulation de vie est sorti en 2000 ?,Les Sims,1
Quelle encyclopédie en ligne collaborative a été lancée en 2001 ?,Wikipedia,2
Quel pays a remporté la Coupe du Monde de football 2002 ?,Brésil,2
Quelle série TV met en scène Jack Bauer en temps réel ?,24 heures chrono,2
Quel lecteur de musique portable d'Apple a cartonné au début des années 2000 ?,iPod,1
Qui a chanté "Moi... Lolita" en 2000 ?,Alizée,1
Quel ouragan a dévasté la Nouvelle-Orléans en 2005 ?,Katrina,2
Quelle série culte s'est terminée en 2004 après 10 saisons (avec Ross et Rachel) ?,Friends,1
Quel film a remporté 11 Oscars en 2004 ?,Le Seigneur des Anneaux : Le Retour du Roi,2
Qui était le président de la France au début des années 2000 ?,Jacques Chirac,1
Quel rappeur américain a sorti le film et l'album "8 Mile" ?,Eminem,1
Quelle console de Nintendo avec des manettes à détection de mouvement est sortie en 2006 ?,Wii,1
Quel traité européen a été rejeté par référendum en France en 2005 ?,Constitution européenne,3
Qui a succédé à Jacques Chirac en 2007 ?,Nicolas Sarkozy,1
Quel groupe a chanté "Where Is the Love?" en 2003 ?,The Black Eyed Peas,2
Quelle maladie respiratoire a causé une épidémie mondiale en 2003 ?,SRAS,3
Quel film français a eu un succès mondial avec Audrey Tautou en 2001 ?,Le Fabuleux Destin d'Amélie Poulain,1
Qui a gagné l'Euro 2000 de football ?,France,2
Quel jeu vidéo en ligne massivement multijoueur (MMORPG) est sorti en 2004 ?,World of Warcraft,2
Quelle chanteuse a fait scandale avec son sein nu au Super Bowl 2004 ?,Janet Jackson,2
Quel acteur incarne Spider-Man dans la trilogie débutée en 2002 ?,Tobey Maguire,2
Quelle guerre a été déclenchée par les USA en 2003 ?,Guerre d'Irak,1
Qui a chanté "Rehab" en 2006 ?,Amy Winehouse,1
Quel téléphone Nokia était réputé indestructible au début des années 2000 ?,3310,2
Quelle série TV commence par le crash du vol 815 sur une île ?,Lost,1
