QUESTION,REPONSE,DIFFICULTE
Qui est surnommé le "King" du Rock'n'roll ?,Elvis Presley,1
Quelle star de la télé-réalité a été mariée à Kanye West ?,Kim Kardashian,1
Quel est le vrai nom de Johnny Hallyday ?,Jean-Philippe Smet,2
Qui est la chanteuse interprète de "Djadja" ?,Aya Nakamura,1
Quelle actrice a épousé le Prince Harry ?,Meghan Markle,1
Qui est le youtubeur français le plus suivi (en 2024, devant Squeezie) ?,Tibo InShape,2
Quel acteur incarne Iron Man ?,Robert Downey Jr.,1
Qui a chanté "All I Want for Christmas Is You" ?,Mariah Carey,1
Quelle star a porté une robe en viande aux MTV Awards ?,Lady Gaga,2
Qui est la mère de Blue Ivy ?,Beyoncé,1
Quel acteur français a reçu un Oscar pour "The Artist" ?,Jean Dujardin,2
Quelle princesse est décédée sous le pont de l'Alma en 1997 ?,Lady Diana (Princesse Diana),1
Qui est le créateur de Facebook (et célébrité de la tech) ?,Mark Zuckerberg,1
Quelle chanteuse a débuté dans la série "Hannah Montana" ?,Miley Cyrus,1
Qui forme un couple célèbre avec Jay-Z ?,Beyoncé,1
Quel DJ français porte toujours un casque intégral ?,Daft Punk (ou Thomas Bangalter/Guy-Manuel),2
Qui est l'influenceuse française autrice de "Toujours plus" ?,Lena Situations,2
Quel acteur a giflé Chris Rock aux Oscars 2022 ?,Will Smith,1
Qui est surnommée "La Madone" des palaces (héritière blonde) ?,Paris Hilton,2
Quel chanteur canadien a été découvert sur YouTube avec "Baby" ?,Justin Bieber,1
Qui a joué le rôle de Jack dans Titanic ?,Leonardo DiCaprio,1
Quelle star française est surnommée "Bébel" ?,Jean-Paul Belmondo,2
Qui est l'actrice principale de la série "Mercredi" (Netflix) ?,Jenna Ortega,2
Quel est le prénom du fils d'Elon Musk (X Æ A-12) ?,X (ou un prénom imprononçable),5
Qui a été la compagne de Brad Pitt après Jennifer Aniston ?,Angelina Jolie,1
Quelle chanteuse est surnommée "Riri" ?,Rihanna,1
Qui est l'animateur de "Touche pas à mon poste" ?,Cyril Hanouna,1
Quel acteur américain est aussi un ancien catcheur surnommé "The Rock" ?,Dwayne Johnson,1
Qui a chanté "Non, je ne regrette rien" ?,Edith Piaf,1
Quelle actrice blonde est devenue une icône avec sa robe soulevée par le métro ?,Marilyn Monroe,1
Qui est le mari de Victoria Beckham ?,David Beckham,1
Quel chanteur a pour vrai nom Bruno Mars ?,Peter Gene Hernandez,5
Qui est la plus jeune milliardaire "self-made" du clan Kardashian/Jenner ?,Kylie Jenner,2
Quel acteur français a joué dans "Lupin" sur Netflix ?,Omar Sy,1
Qui est le compagnon de Zendaya (acteur de Spider-Man) ?,Tom Holland,2
Quelle chanteuse a popularisé la queue de cheval haute ?,Ariana Grande,2
Qui a présenté le "Bigdil" ?,Vincent Lagaf',2
Quel est le vrai nom de Lady Gaga ?,Stefani Germanotta,4
Qui a été le mari de Nicole Kidman avant Keith Urban ?,Tom Cruise,2
Quel chanteur français a les yeux vairons (un bleu un marron) ?,David Bowie (Piège c'est anglais). Remplacé : Qui chante "Place des grands hommes" ?,Patrick Bruel,2
Qui est l'influenceur le plus suivi sur TikTok au monde (le silencieux) ?,Khaby Lame,2
Quelle star a joué "Rachel" dans Friends ?,Jennifer Aniston,1
Qui a épousé le Prince William ?,Kate Middleton,1
Quel acteur a joué "Terminator" et a été gouverneur ?,Arnold Schwarzenegger,1
Qui est le père de Miley Cyrus (chanteur de country) ?,Billy Ray Cyrus,3
Quelle chanteuse française a pour surnom "La Môme" ?,Edith Piaf,1
Qui a gagné le procès ultra-médiatisé contre Amber Heard ?,Johnny Depp,1
Quel rappeur a interrompu le discours de Taylor Swift aux VMA 2009 ?,Kanye West,2
Qui est la chanteuse de "Shake It Off" ?,Taylor Swift,1
Quel est le vrai nom de M. Pokora ?,Matthieu Tota,3
Qui a présenté "Ciel, mon mardi !" ?,Christophe Dechavanne,3
Quelle actrice française a défendu la cause animale (bébés phoques) ?,Brigitte Bardot,1
Qui est le fondateur d'Amazon (crâne chauve) ?,Jeff Bezos,1
Quel groupe de K-Pop est le plus connu au monde (garçons) ?,BTS,2
Qui a joué "Forrest Gump" ?,Tom Hanks,1
Quelle chanteuse a eu une résidence à Las Vegas pendant des années (My Heart Will Go On) ?,Céline Dion,1
Qui est le mari de Hailey Bieber ?,Justin Bieber,1
Quel youtubeur américain est connu pour donner des millions de dollars ?,MrBeast,1
Quelle actrice a joué Hermione Granger ?,Emma Watson,1
Qui est l'interprète de "Thriller" ?,Michael Jackson,1
Quelle star de télé-réalité a dit "Non mais allô quoi ?" ?,Nabilla,1
Qui est le père de Lily-Rose Depp ?,Johnny Depp,1
Quel acteur français est célèbre pour ses colères dans les films (De Funès ou...). Remplacé : Qui joue Astérix dans le film de Guillaume Canet ?,Guillaume Canet,2
Qui a été la première femme de Brad Pitt (actrice de Friends) ?,Jennifer Aniston,2
Quel est le vrai nom de Marilyn Monroe ?,Norma Jeane Baker,4
