QUESTION,REPONSE,DIFFICULTE
Quel est le prénom du cousin détestable de Harry Potter ?,Dudley,1
Quelle est la maison de Harry Potter à Poudlard ?,Gryffondor,1
Quel est le nom de la chouette de Harry ?,Hedwige,1
Quel est le nom de famille de Ron ?,Weasley,1
Qui est le directeur de Poudlard au début de la saga ?,Albus Dumbledore,1
Quelle forme a la cicatrice de Harry ?,Éclair,1
Quel est le sport pratiqué sur des balais volants ?,Quidditch,1
Quel est le nom de celui qu'on ne doit pas prononcer ?,Voldemort,1
Quelle est la couleur principale de la maison Serpentard ?,Vert,1
De quel animal le professeur McGonagall peut-elle prendre la forme ?,Chat,2
Quel est le nom du garde-chasse géant de Poudlard ?,Hagrid,1
Quel objet attrapeur doit-il saisir pour finir un match de Quidditch ?,Vif d'or,1
Comment appelle-t-on les gens sans pouvoirs magiques ?,Moldus,1
Quel est le prénom de la mère de Harry Potter ?,Lily,1
Quel est le nom du rat de Ron ?,Croûtard,2
Quelle plateforme de la gare King's Cross mène à Poudlard ?,9 3/4,1
Quel professeur enseigne les potions au début de la saga ?,Severus Rogue,1
Quel est le nom du chat d'Hermione ?,Pattenrond,2
Quelle potion permet de changer d'apparence ?,Polynectar,2
Qui a tué les parents de Harry Potter ?,Voldemort,1
Quel est le nom de la banque des sorciers ?,Gringotts,1
Quel est le mot de passe pour ouvrir la carte du Maraudeur ?,Je jure solennellement que mes intentions sont mauvaises,3
Quel est le prénom du père de Harry ?,James,1
Quel est le nom de l'elfe de maison qui se libère avec une chaussette ?,Dobby,1
Quelle est la maison de Drago Malefoy ?,Serpentard,1
Quel sortilège permet de désarmer son adversaire ?,Expelliarmus,1
Qui est le parrain de Harry Potter ?,Sirius Black,1
Quel est le nom du village sorcier près de Poudlard ?,Pré-au-Lard,2
Quel est le nom de l'hippogriffe sauvé par Harry et Hermione ?,Buck,2
Quelle plante crie quand on la déterre ?,Mandragore,2
Qui est "Celui-qui-a-survécu" ?,Harry Potter,1
Quel est le prénom de la sœur de Ron ?,Ginny,1
Quel est le nom du concierge de Poudlard ?,Rusard,2
Quel est le nom du fantôme de Gryffondor ?,Nick Quasi-Sans-Tête,2
Quel sortilège fait léviter les objets ?,Wingardium Leviosa,1
Quel est le nom de la prison des sorciers ?,Azkaban,1
Qui a écrit les livres Harry Potter (dans la réalité) ?,J.K. Rowling,1
Quel est le métier des parents d'Hermione ?,Dentistes,2
Quel objet magique choisit son sorcier ?,Baguette,1
Quel est le numéro de la chambre de Harry sous l'escalier ?,Placard sous l'escalier (Pas de numéro),2
Qui est le Prince de Sang-Mêlé ?,Severus Rogue,3
Quel tournoi a lieu dans le 4ème tome ?,Tournoi des Trois Sorciers,2
Quelle est la maison de Cédric Diggory ?,Poufsouffle,2
Quel est le nom du journal intime détruit par Harry dans le tome 2 ?,Tom Jedusor,2
Quel animal est le basilic ?,Un serpent géant,2
Comment s'appelle le balai offert à Harry par Sirius Black ?,Éclair de Feu,3
Qui tue Albus Dumbledore ?,Severus Rogue,2
Quel est le nom du Seigneur des Ténèbres avant de devenir Voldemort ?,Tom Elvis Jedusor,2
Quelle est la formule du sortilège de la mort ?,Avada Kedavra,2
Quel objet permet à Hermione de suivre tous ses cours en 3ème année ?,Retourneur de temps,2
Qui est la directrice de la maison Poufsouffle (prof de botanique) ?,Professeur Chourave,3
Quel est le nom du loup-garou ami de James Potter ?,Remus Lupin,2
