QUESTION,REPONSE,DIFFICULTE
Sur quel continent se trouve la France ?,Europe,1
Quel est le plus grand pays du monde par la superficie ?,Russie,1
Quel est le nom de la planète sur laquelle nous vivons ?,Terre,1
Quel océan sépare l'Amérique de l'Europe ?,Atlantique,1
Dans quel pays se trouve la Tour Eiffel ?,France,1
Quelle est la forme géométrique souvent utilisée pour décrire l'Italie ?,Botte,1
Quel est le pays le plus peuplé du monde (en 2023/2024) ?,Inde,2
Dans quel pays peut-on voir les pyramides de Gizeh ?,Égypte,1
Quel est le plus grand océan du monde ?,Pacifique,2
Dans quel pays se trouve la ville de New York ?,États-Unis,1
Quel est le plus long fleuve de France ?,La Loire,2
Quelle chaîne de montagnes sépare la France de l'Espagne ?,Pyrénées,2
Sur quel continent se trouve le Brésil ?,Amérique du Sud,1
Dans quel pays se trouve la Grande Muraille ?,Chine,1
Quelle est la langue officielle du Brésil ?,Portugais,3
Quel est le plus grand désert chaud du monde ?,Sahara,2
Quel pays est surnommé le pays du Soleil-Levant ?,Japon,2
Dans quel pays se trouve la ville de Venise ?,Italie,1
Quelle mer sépare l'Europe de l'Afrique ?,Méditerranée,2
Quel est le plus haut sommet du monde ?,Mont Everest,2
Dans quel pays se trouve le Taj Mahal ?,Inde,2
Quel canal relie la mer Méditerranée à la mer Rouge ?,Suez,3
Quel est le plus petit pays du monde ?,Vatican,2
Quelle ville est surnommée la Grosse Pomme ?,New York,2
Dans quel pays se trouve la ville de Marrakech ?,Maroc,2
Quel est le plus grand état des États-Unis par la superficie ?,Alaska,3
Quel fleuve traverse l'Égypte ?,Nil,2
Dans quel pays se trouve la ville de Rio de Janeiro ?,Brésil,2
Quelle est la monnaie utilisée au Royaume-Uni ?,Livre Sterling,3
Quel est le point culminant de l'Europe occidentale ?,Mont Blanc,2
Dans quel pays se trouve le Machu Picchu ?,Pérou,3
Quel est le plus grand lac du monde (en superficie) ?,Mer Caspienne,4
Quelle chaîne de montagnes traverse l'Italie du nord au sud ?,Apennins,4
Quel est le nom du détroit qui sépare le Royaume-Uni de la France ?,Pas de Calais,3
Dans quel pays se trouve la Bavière ?,Allemagne,3
Quel fleuve traverse la ville de Londres ?,Tamise,2
Quel pays a la forme d'un hexagone ?,France,1
Dans quel pays se trouve la ville de Sydney ?,Australie,1
Quel est le plus grand pays d'Afrique par la superficie ?,Algérie,4
Quelle est la langue majoritairement parlée au Mexique ?,Espagnol,2
Dans quel océan se trouve l'île de Madagascar ?,Indien,3
Quel pays est composé de plus de 17 000 îles ?,Indonésie,4
Dans quel pays se trouve la région de la Transylvanie ?,Roumanie,4
Quel est le nom du supercontinent qui existait il y a 200 millions d'années ?,Pangée,4
Quel est le fleuve le plus long d'Europe ?,Volga,4
Dans quel pays se trouve la ville de Barcelone ?,Espagne,1
Quel détroit sépare l'Espagne du Maroc ?,Gibraltar,3
Quelle est la monnaie du Japon ?,Yen,3
Dans quel pays se trouve le site de Pétra ?,Jordanie,4
Quel est le lac le plus profond du monde ?,Lac Baïkal,5
Quelle ville est construite sur deux continents (Europe et Asie) ?,Istanbul,3
Dans quel pays se trouve la forêt amazonienne (majoritairement) ?,Brésil,2
Quel est le nom des habitants de Madrid ?,Madrilènes,4
Dans quel pays se trouve le mont Kilimandjaro ?,Tanzanie,3
Quelle mer est connue pour sa salinité très élevée empêchant la vie ?,Mer Morte,3
Quel est le seul pays d'Amérique du Sud qui a l'anglais comme langue officielle ?,Guyana,5
Dans quel pays se trouve la ville de Dubaï ?,Émirats arabes unis,3
Quelle chaîne de montagnes sépare l'Europe de l'Asie ?,Oural,4
Quel est le nom du fleuve qui traverse Paris ?,Seine,1
Dans quel pays se trouve le désert d'Atacama ?,Chili,4
Quel est le plus grand pays d'Amérique du Sud ?,Brésil,1
Dans quel pays se trouve la ville de Québec ?,Canada,2
Quel est le nom du fleuve qui traverse Bagdad ?,Tigre,5
Quelle est la plus grande île de la Méditerranée ?,Sicile,4
Dans quel pays se trouve la ville de Casablanca ?,Maroc,2
Quel pays est entièrement enclavé dans l'Afrique du Sud ?,Lesotho,5
Quelle est la monnaie de la Suisse ?,Franc suisse,3
Dans quel pays se trouve la ville de Tchernobyl ?,Ukraine,3
Quel est le plus long fleuve d'Amérique du Nord ?,Missouri,5
Quelle est la plus grande île du monde (hors continents) ?,Groenland,3
Dans quel pays se trouvent les ruines d'Angkor Wat ?,Cambodge,4
Quel est le nom de la mer située entre la Suède et le Royaume-Uni ?,Mer du Nord,3
Dans quel pays se trouve la ville de Genève ?,Suisse,2
Quel est le nom du détroit séparant l'Alaska de la Russie ?,Béring,4
Quelle est la langue officielle de l'Autriche ?,Allemand,3
Dans quel pays se trouve la ville de Tombouctou ?,Mali,4
Quel volcan a détruit la ville de Pompéi ?,Vésuve,3
Dans quel pays se trouve le Mont Fuji ?,Japon,2
Quelle est la région française située en Amérique du Sud ?,Guyane,3
Quel est le fleuve le plus long du monde (souvent débattu avec le Nil) ?,Amazone,3
Dans quel pays se trouve la ville de Bombay (Mumbai) ?,Inde,2
Quel est le nom de la place rouge ?,Russie,2
Dans quel pays se trouvent les chutes du Niagara (côté fer à cheval) ?,Canada,3
Quel est le pays le plus long du monde (du nord au sud) ?,Chili,3
Quelle est la devise monétaire de la Russie ?,Rouble,4
Dans quel pays se trouve la ville de La Mecque ?,Arabie saoudite,3
Quel est le point le plus bas de la Terre (sur la terre ferme) ?,Mer Morte,5
Dans quel pays se trouve la région de la Patagonie ?,Argentine,3
Quel est le nom des chutes d'eau les plus hautes du monde ?,Salto Angel,5
Dans quel pays se trouve le Salto Angel ?,Venezuela,5
Quelle est la capitale européenne traversée par le Danube ?,Vienne,3
Dans quel pays se trouve l'île de Bali ?,Indonésie,3
Quel est le nom du désert qui couvre une grande partie de la Mongolie ?,Gobi,4
Dans quel pays se trouve le site historique de Carthage ?,Tunisie,4
Quel est le seul État des USA situé dans les tropiques ?,Hawaï,4
Quelle chaîne de montagnes traverse l'Amérique du Nord à l'Ouest ?,Rocheuses,3
Dans quel pays se trouve le lac Titicaca ?,Pérou,4
Quel est le nom de la péninsule où se trouvent l'Espagne et le Portugal ?,Ibérique,4
Quelle est la deuxième ville la plus peuplée de France ?,Marseille,3
Quelle est la capitale de l'Afghanistan ?,Kaboul,4
Quelle est la capitale de l'Afrique du Sud ?,Pretoria,4
Quelle est la capitale de l'Albanie ?,Tirana,4
Quelle est la capitale de l'Algérie ?,Alger,2
Quelle est la capitale de l'Allemagne ?,Berlin,1
Quelle est la capitale de l'Andorre ?,Andorre-la-Vieille,3
Quelle est la capitale de l'Angola ?,Luanda,5
Quelle est la capitale d'Antigua-et-Barbuda ?,Saint John's,5
Quelle est la capitale de l'Arabie saoudite ?,Riyad,3
Quelle est la capitale de l'Argentine ?,Buenos Aires,2
Quelle est la capitale de l'Arménie ?,Erevan,5
Quelle est la capitale de l'Australie ?,Canberra,3
Quelle est la capitale de l'Autriche ?,Vienne,2
Quelle est la capitale de l'Azerbaïdjan ?,Bakou,4
Quelle est la capitale des Bahamas ?,Nassau,4
Quelle est la capitale du Bahreïn ?,Manama,5
Quelle est la capitale du Bangladesh ?,Dacca,4
Quelle est la capitale de la Barbade ?,Bridgetown,5
Quelle est la capitale de la Belgique ?,Bruxelles,1
Quelle est la capitale du Belize ?,Belmopan,5
Quelle est la capitale du Bénin ?,Porto-Novo,5
Quelle est la capitale du Bhoutan ?,Thimphou,5
Quelle est la capitale de la Biélorussie ?,Minsk,4
Quelle est la capitale de la Birmanie (Myanmar) ?,Naypyidaw,5
Quelle est la capitale de la Bolivie ?,La Paz,4
Quelle est la capitale de la Bosnie-Herzégovine ?,Sarajevo,4
Quelle est la capitale du Botswana ?,Gaborone,5
Quelle est la capitale du Brésil ?,Brasilia,3
Quelle est la capitale du Brunei ?,Bandar Seri Begawan,5
Quelle est la capitale de la Bulgarie ?,Sofia,3
Quelle est la capitale du Burkina Faso ?,Ouagadougou,5
Quelle est la capitale du Burundi ?,Gitega,5
Quelle est la capitale du Cambodge ?,Phnom Penh,4
Quelle est la capitale du Cameroun ?,Yaoundé,4
Quelle est la capitale du Canada ?,Ottawa,3
Quelle est la capitale du Cap-Vert ?,Praia,5
Quelle est la capitale de la Centrafrique ?,Bangui,5
Quelle est la capitale du Chili ?,Santiago,3
